POmtg542_1:1	sorry	FI(FI)	sorry
POmtg542_73:3	it	PP(PP)	it
POmtg542_73:4	's	VBS(VBS)	be
POmtg542_73:5	a	DT(DT)	a
POmtg542_73:6	really	RB(RB)	really
POmtg542_73:7	a	DT(DT)	a
POmtg542_73:8	stand	NN(NN)	stand
POmtg542_73:9	_0	PA(PA)	

POmtg542_74:1	@@@	LA(LA)	

POmtg542_75:1	stand	NN(NN)	stand
POmtg542_75:2	and	CC(CC)	and
POmtg542_75:3	or	CC(CC)	or
POmtg542_75:4	fall	NN(NN)	fall
POmtg542_75:5	_0	PA(PA)	
POmtg542_75:6	exercise	NN(NN)	exercise
POmtg542_75:7	we	PP(PP)	we
POmtg542_75:8	're	VBP(VBP)	be
POmtg542_75:9	speaking	VVG(VVG)	speak
POmtg542_75:10	ab-	XX(XX)	
POmtg542_75:11	and	CC(CC)	and
POmtg542_75:12	we	PP(PP)	we
POmtg542_75:13	know	VVP(VVP)	know
POmtg542_75:14	there	EX(EX)	there
POmtg542_75:15	are	VBP(VBP)	be
POmtg542_75:16	agencies	NNS(NNS)	agency
POmtg542_75:17	that	PRE(PRE)	that
POmtg542_75:18	are	VBP(VBP)	be
POmtg542_75:19	not	RB(RB)	not
POmtg542_75:20	going	VVG(VVG)	go
POmtg542_75:21	to	TO(TO)	to
POmtg542_75:22	make	VV(VV)	make
POmtg542_75:23	it	PP(PP)	it
POmtg542_75:24	_0	PA(PA)	
POmtg542_75:25	unless	IN(IN)	unless
POmtg542_75:26	they	PP(PP)	they
POmtg542_75:27	re-	XX(XX)	
POmtg542_75:28	-make	XX(XX)	
POmtg542_75:29	their	PP$(PP$)	they
POmtg542_75:30	procedures	NNS(NNS)	procedure
POmtg542_75:31	_1	PA(PA)	

POmtg542_76:1	hh	BR(BR)	

POmtg542_77:1	so	DM(DM)	so
POmtg542_77:2	_1	PA(PA)	
POmtg542_77:3	what	WP(WP)	what
POmtg542_77:4	do	VVP(VVP)	do
POmtg542_77:5	you	PP(PP)	you
POmtg542_77:6	think	VV(VV)	think
POmtg542_77:7	a_[S3]	NP(NP)	
POmtg542_77:8	you	PP(PP)	you
POmtg542_77:9	never	RB(RB)	never
POmtg542_77:10	had	VHD(VHD)	have
POmtg542_77:11	the	DT(DT)	the
POmtg542_77:12	chance	NN(NN)	chance
POmtg542_77:13	to	TO(TO)	to
POmtg542_77:14	comment	VV(VV)	comment
POmtg542_77:15	on	IN(IN)	on
POmtg542_77:16	this	DT(DT)	this

POmtg542_78:1	hh	BR(BR)	
POmtg542_78:2	_0	PA(PA)	

POmtg542_79:1	@	LA(LA)	

POmtg542_80:1	it	PP(PP)	it
POmtg542_80:2	's	VBS(VBS)	be
POmtg542_80:3	a	DT(DT)	a
POmtg542_80:4	_0	PA(PA)	
POmtg542_80:5	i	PP(PP)	i
POmtg542_80:6	think	VVP(VVP)	think
POmtg542_80:7	it	PP(PP)	it
POmtg542_80:8	's	VBS(VBS)	be
POmtg542_80:9	it	PP(PP)	it
POmtg542_80:10	makes	VVZ(VVZ)	make
POmtg542_80:11	sense	NN(NN)	sense
POmtg542_80:12	_0	PA(PA)	
POmtg542_80:13	because	IN(IN)	because
POmtg542_80:14	the	DT(DT)	the
POmtg542_80:15	er	UH(UH)	er
POmtg542_80:16	_0	PA(PA)	
POmtg542_80:17	the	DT(DT)	the
POmtg542_80:18	first	JJ(JJ)	first
POmtg542_80:19	table	NN(NN)	table
POmtg542_80:20	it	PP(PP)	it
POmtg542_80:21	's	VBS(VBS)	be
POmtg542_80:22	the	DT(DT)	the
POmtg542_80:23	one	NN(NN)	one
POmtg542_80:24	that	PRE(PRE)	that
POmtg542_80:25	you	PP(PP)/PP(DM)	you
POmtg542_80:26	know	VVP(VVP)/VVP(DM)	know
POmtg542_80:27	_0	PA(PA)	
POmtg542_80:28	most	JJS(JJS)	most
POmtg542_80:29	agency	NN(NNS)	agency
POmtg542_80:30	will	MD(MD)	will
POmtg542_80:31	fit	VV(VV)	fit
POmtg542_80:32	into	IN(IN)	into
POmtg542_80:33	it	PP(PP)	it
POmtg542_80:34	anyway	RB(RB)	anyway

POmtg542_81:1	yeah	RE(RE)	yeah

POmtg542_82:1	yeah	RE(RE)	yeah

POmtg542_83:1	i	PP(DM)	i
POmtg542_83:2	mean	VVP(DM)	mean
POmtg542_83:3	i	PP(PP)	i
POmtg542_83:4	i	PP(PP)	i
POmtg542_83:5	yeah	RE(RE)	yeah
POmtg542_83:6	_1	PA(PA)	

POmtg542_84:1	i	PP(PP)/PP(DM)	i
POmtg542_84:2	mean	VVP(VVP)/VVP(DM)	mean
POmtg542_84:3	the	DT(DT)	the
POmtg542_84:4	other	JJ(JJ)	other
POmtg542_84:5	one	NN(NN)	one
POmtg542_84:6	is	VBZ(VBZ)	be
POmtg542_84:7	just	RB(RB)	just
POmtg542_84:8	the	DT(DT)	the
POmtg542_84:9	s-	XX(XX)	
POmtg542_84:10	that	DT(DT)	that
POmtg542_84:11	's	VBS(VBS)	be
POmtg542_84:12	sort	RB(RB)	sort
POmtg542_84:13	of	RB(RB)	of
POmtg542_84:14	police	NN(NN)	police
POmtg542_84:15	_0	PA(PA)	

POmtg542_85:1	mhm	RE(RE)	mhm

POmtg542_86:1	er	UH(UH)	er
POmtg542_86:2	action	NN(NN)	action
POmtg542_86:3	i-	XX(XX)	
POmtg542_86:4	one	CD(CD)	one
POmtg542_86:5	way	NN(NN)	way
POmtg542_86:6	just	RB(RB)	just
POmtg542_86:7	a_[org1]	NP(NP)	
POmtg542_86:8	slams	VVZ(VVZ)	slam
POmtg542_86:9	the	DT(DT)	the
POmtg542_86:10	xx	UNI(UNI)	
POmtg542_86:11	xx	UNI(UNI)	
POmtg542_86:12	xx	UNI(UNI)	
POmtg542_86:13	_0	PA(PA)	
POmtg542_86:14	_0	PA(PA)	
POmtg542_86:15	er	UH(UH)	er
POmtg542_86:16	with	IN(IN)	with
POmtg542_86:17	little	JJ(JJ)	little
POmtg542_86:18	regard	NN(NN)	regard
POmtg542_86:19	of	IN(IN)	of
POmtg542_86:20	neither	CC(CC)	neither
POmtg542_86:21	governments	NNS(NNS)	government
POmtg542_86:22	or	CC(CC)	or
POmtg542_86:23	agency	NN(NN)	agency
POmtg542_86:24	_1	PA(PA)	
POmtg542_86:25	you	PP(PP)	you
POmtg542_86:26	could	MD(MD)	can
POmtg542_86:27	_0	PA(PA)	
POmtg542_86:28	if	IN(IN)	if
POmtg542_86:29	we	PP(PP)	we
POmtg542_86:30	comment	VVP(VVP)	comment
POmtg542_86:31	on	IN(IN)	on
POmtg542_86:32	the	DT(DT)	the
POmtg542_86:33	second	JJ(JJ)	second
POmtg542_86:34	model	NN(NN)	model
POmtg542_86:35	_0	PA(PA)	
POmtg542_86:36	of	RB(RB)	of
POmtg542_86:37	course	RB(RB)	course
POmtg542_86:38	include	VVP(VVP)	include
POmtg542_86:39	government	NN(NN)	government
POmtg542_86:40	more	JJR(JJR)	more
POmtg542_86:41	_0	PA(PA)	
POmtg542_86:42	to	TO(TO)	to
POmtg542_86:43	make	VV(VV)	make
POmtg542_86:44	a	DT(DT)	a
POmtg542_86:45	sort	NN(NN)	sort
POmtg542_86:46	of	IN(IN)	of
POmtg542_86:47	a_[org1]	NP(NP)	
POmtg542_86:48	_0	PA(PA)	
POmtg542_86:49	government	NN(NN)	government
POmtg542_86:50	alliance	NN(NN)	alliance
POmtg542_86:51	there	RB(RB)	there
POmtg542_86:52	this	DT(DT)	this
POmtg542_86:53	perhaps	RB(RB)	perhaps
POmtg542_86:54	would	MD(MD)	will
POmtg542_86:55	be	VB(VB)	be
POmtg542_86:56	_1	PA(PA)	
POmtg542_86:57	it	PP(PP)	it
POmtg542_86:58	would	MD(MD)	will
POmtg542_86:59	be	VB(VB)	be
POmtg542_86:60	nec-	XX(XX)	
POmtg542_86:61	hh	BR(BR)	
POmtg542_86:62	i	PP(PP)	i
POmtg542_86:63	do	VVP(VVP)	do
POmtg542_86:64	n't	RB(RB)	not
POmtg542_86:65	know	VV(VV)	know
POmtg542_86:66	what	WP(WP)	what
POmtg542_86:67	you	PP(PP)	you
POmtg542_86:68	think	VVP(VVP)	think
POmtg542_86:69	but	CC(CC)	but
POmtg542_86:70	it	PP(PP)	it
POmtg542_86:71	could	MD(MD)	can
POmtg542_86:72	be	VB(VB)	be
POmtg542_86:73	perhaps	RB(RB)	perhaps
POmtg542_86:74	natural	JJ(JJ)	natural
POmtg542_86:75	for	IN(IN)	for
POmtg542_86:76	a_[org1]	NP(NP)	
POmtg542_86:77	to	TO(TO)	to
POmtg542_86:78	share	VV(VV)	share
POmtg542_86:79	some	DT(DT)	some
POmtg542_86:80	of	IN(IN)	of
POmtg542_86:81	the	DT(DT)	the
POmtg542_86:82	responsibility	NN(NN)	responsibility
POmtg542_86:83	with	IN(IN)	with
POmtg542_86:84	the	DT(DT)	the
POmtg542_86:85	local	NN(NN)	local
POmtg542_86:86	government	NN(NN)	government
POmtg542_86:87	i	PP(PP)	i
POmtg542_86:88	do	VVP(VVP)	do
POmtg542_86:89	n't	RB(RB)	not
POmtg542_86:90	know	VV(VV)	know
POmtg542_86:91	_0	PA(PA)	
POmtg542_86:92	terms	NNS(NNS)	term
POmtg542_86:93	of	NNS(NNS)	of
POmtg542_86:94	reference	NNS(NNS)	reference
POmtg542_86:95	for	RB(RB)	for
POmtg542_86:96	instance	RB(RB)	instance
POmtg542_86:97	_4	PA(PA)	

POmtg542_87:1	well	DM(DM)	well

POmtg542_88:1	i	PP(PP)	i
POmtg542_88:2	i	PP(PP)	i
POmtg542_88:3	er	UH(UH)	er
POmtg542_88:4	_2	PA(PA)	
POmtg542_88:5	i	PP(PP)	i
POmtg542_88:6	am	VBP(VBP)	be
POmtg542_88:7	thinking	VVG(VVG)	think
POmtg542_88:8	that	DT(DT)	that
POmtg542_88:9	is	VBZ(VBZ)	be
POmtg542_88:10	for	IN(IN)	for
POmtg542_88:11	_0	PA(PA)	
POmtg542_88:12	er	UH(UH)	er
POmtg542_88:13	ag-	XX(XX)	
POmtg542_88:14	agenc-	XX(XX)	
POmtg542_88:15	agency	NN(NN)	agency
POmtg542_88:16	government	NN(NN)	government
POmtg542_88:17	a_[org1]	NP(NP)	
POmtg542_88:18	_1	PA(PA)	
POmtg542_88:19	a_[org4]	NP(NP)	

POmtg542_89:1	a_[org4]	NP(NP)	
POmtg542_89:2	yes	RE(RE)	yes

POmtg542_90:1	but	CC(CC)	but
POmtg542_90:2	_1	PA(PA)	
POmtg542_90:3	but	CC(CC)	but
POmtg542_90:4	the	DT(DT)	the
POmtg542_90:5	_1	PA(PA)	
POmtg542_90:6	the	DT(DT)	the
POmtg542_90:7	experts	NNS(NNS)	expert
POmtg542_90:8	the	DT(DT)	the
POmtg542_90:9	the	DT(DT)	the
POmtg542_90:10	the	DT(DT)	the
POmtg542_90:11	r-	XX(XX)	
POmtg542_90:12	the	DT(DT)	the
POmtg542_90:13	review	NN(NN)	review
POmtg542_90:14	panel	NN(NN)	panel
POmtg542_90:15	_1	PA(PA)	
POmtg542_90:16	er	UH(UH)	er

POmtg542_91:1	hm	RE(RE)	hm

POmtg542_92:1	has	VHZ(VHZ)	have
POmtg542_92:2	n't	RB(RB)	not
POmtg542_92:3	worked	VVN(VVN)	work
POmtg542_92:4	_0	PA(PA)	
POmtg542_92:5	and	CC(CC)	and
POmtg542_92:6	i-	XX(XX)	
POmtg542_92:7	it	PP(PP)	it
POmtg542_92:8	's	VBS(VBS)	be
POmtg542_92:9	not	RB(RB)	not
POmtg542_92:10	agency	NN(NN)	agency
POmtg542_92:11	it	PP(PP)	it
POmtg542_92:12	's	VBS(VBS)	be
POmtg542_92:13	not	RB(RB)	not
POmtg542_92:14	government	NN(NN)	government
POmtg542_92:15	it	PP(PP)	it
POmtg542_92:16	's	VBS(VBS)	be
POmtg542_92:17	not	RB(RB)	not
POmtg542_92:18	a_[org1]	NP(NP)	
POmtg542_92:19	_0	PA(PA)	
POmtg542_92:20	er	UH(UH)	er
POmtg542_92:21	_0	PA(PA)	
POmtg542_92:22	can	MD(MD)	can
POmtg542_92:23	be	VB(VB)	be
POmtg542_92:24	take	V(VVN)	take
POmtg542_92:25	into	IN(IN)	into
POmtg542_92:26	account	NN(NN)	account
POmtg542_92:27	in	IN(IN)	in
POmtg542_92:28	the	DT(DT)	the
POmtg542_92:29	_1	PA(PA)	
POmtg542_92:30	in	IN(IN)	in
POmtg542_92:31	this	DT(DT)	this
POmtg542_92:32	_1	PA(PA)	

POmtg542_93:1	the	DT(DT)	the

POmtg542_94:1	it	PP(PP)	it
POmtg542_94:2	could	MD(MD)	can
POmtg542_94:3	be	VB(VB)	be
POmtg542_94:4	something	NN(NN)	something
POmtg542_94:5	which	PRE(PRE)	which
POmtg542_94:6	is	VBZ(VBZ)	be

POmtg542_95:1	hhh	BR(BR)	
POmtg542_95:2	yes	RE(RE)	yes
POmtg542_95:3	you	PP(PP)	you
POmtg542_95:4	you	PP(PP)	you
POmtg542_95:5	are	VBP(VBP)	be
POmtg542_95:6	good	JJ(JJ)	good
POmtg542_95:7	at	IN(IN)	at
POmtg542_95:8	complicating	VVG(VVG)	complicate
POmtg542_95:9	things	NNS(NNS)	thing
POmtg542_95:10	but	CC(CC)	but
POmtg542_95:11	er	UH(UH)	er

POmtg542_96:1	@@@@	LA(LA)	
POmtg542_96:2	sorry	FI(FI)	sorry
POmtg542_96:3	@@@	LA(LA)	
POmtg542_96:4	so-	XX(XX)	
POmtg542_96:5	so-	XX(XX)	
POmtg542_96:6	i	PP(PP)	i
POmtg542_96:7	'm	VBP(VBP)	be
POmtg542_96:8	sorry	JJ(JJ)	sorry
POmtg542_96:9	@@	LA(LA)	
POmtg542_96:10	_0	PA(PA)	

POmtg542_97:1	@@@@@@@@	LA(LA)	
POmtg542_97:2	@@@@@@@	LA(LA)	

POmtg542_98:1	er	UH(UH)	er

POmtg542_99:1	no	RE(RE)	no
POmtg542_99:2	but	CC(CC)	but
POmtg542_99:3	you	PP(PP)	you
POmtg542_99:4	're	VBP(VBP)	be
POmtg542_99:5	quite	RB(RB)	quite
POmtg542_99:6	right	JJ(JJ)	right
POmtg542_99:7	i	PP(DM)	i
POmtg542_99:8	mean	VVP(DM)	mean
POmtg542_99:9	_0	PA(PA)	
POmtg542_99:10	it	PP(PP)	it
POmtg542_99:11	it	PP(PP)	it
POmtg542_99:12	's	VBS(VBS)	be
POmtg542_99:13	a	DT(DT)	a
POmtg542_99:14	wonderful	JJ(JJ)	wonderful
POmtg542_99:15	illustration	NN(NN)	illustration
POmtg542_99:16	er	UH(UH)	er
POmtg542_99:17	of	IN(IN)	of
POmtg542_99:18	the	DT(DT)	the
POmtg542_99:19	_1	PA(PA)	
POmtg542_99:20	the	DT(DT)	the
POmtg542_99:21	tendency	NN(NN)	tendency
POmtg542_99:22	to	TO(TO)	to
POmtg542_99:23	see	VV(VV)	see
POmtg542_99:24	things	NNS(NNS)	thing
POmtg542_99:25	from	IN(IN)	from
POmtg542_99:26	your	PP$(PP$)	you
POmtg542_99:27	own	JJ(JJ)	own
POmtg542_99:28	er	UH(UH)	er
POmtg542_99:29	national	JJ(JJ)	national
POmtg542_99:30	er	UH(UH)	er
POmtg542_99:31	agency	NN(NN)	agency
POmtg542_99:32	perspective	NN(NN)	perspective
POmtg542_99:33	because	IN(IN)	because
POmtg542_99:34	in	IN(IN)	in
POmtg542_99:35	denmark	NP(NP)	denmark
POmtg542_99:36	of	RB(RB)	of
POmtg542_99:37	course	RB(RB)	course
POmtg542_99:38	_1	PA(PA)	

POmtg542_100:1	@@	LA(LA)	

POmtg542_101:1	we	PP(PP)	we
POmtg542_101:2	nominate	VVP(VVP)	nominate
POmtg542_101:3	and	CC(CC)	and
POmtg542_101:4	appoint	VVP(VVP)	appoint
POmtg542_101:5	at	RB(RB)	at
POmtg542_101:6	least	RB(RB)	least
POmtg542_101:7	we	PP(PP)	we
POmtg542_101:8	make	VVP(VVP)	make
POmtg542_101:9	the	DT(DT)	the
POmtg542_101:10	protocol	NN(NN)	protocol
POmtg542_101:11	facility	NN(NN)	facility
POmtg542_101:12	evaluation	NN(NN)	evaluation
POmtg542_101:13	and	CC(CC)	and
POmtg542_101:14	then	RB(RB)	then
POmtg542_101:15	we	PP(PP)	we
POmtg542_101:16	have	VHP(VHP)	have
POmtg542_101:17	the	DT(DT)	the
POmtg542_101:18	experts	NNS(NNS)	expert
POmtg542_101:19	they	PP(PP)	they
POmtg542_101:20	sort	RB(RB)	sort
POmtg542_101:21	of	RB(RB)	of
POmtg542_101:22	work	VVP(VVP)	work
POmtg542_101:23	on	IN(IN)	on
POmtg542_101:24	that	DT(DT)	that
POmtg542_101:25	basis	NN(NN)	basis
POmtg542_101:26	but	CC(CC)	but
POmtg542_101:27	in	IN(IN)	in
POmtg542_101:28	other	JJ(JJ)	other
POmtg542_101:29	systems	NNS(NNS)	system
POmtg542_101:30	_0	PA(PA)	

POmtg542_102:1	that	DT(DT)	that
POmtg542_102:2	is	VBZ(VBZ)	be
POmtg542_102:3	a_[org1]	NP(NP)	

POmtg542_103:1	mhm	RE(RE)	mhm

POmtg542_104:1	experts	NNS(NNS)	expert
POmtg542_104:2	will	MD(MD)	will
POmtg542_104:3	have	VH(VH)	have
POmtg542_104:4	a	DT(DT)	a
POmtg542_104:5	lot	NN(NN)	lot
POmtg542_104:6	of	IN(IN)	of
POmtg542_104:7	responsibility	NN(NN)	responsibility
POmtg542_104:8	for	IN(IN)	for
POmtg542_104:9	the	DT(DT)	the
POmtg542_104:10	same	JJ(JJ)	same
POmtg542_104:11	evaluation	NN(NN)	evaluation
POmtg542_104:12	protocol	NN(NN)	protocol
POmtg542_104:13	on	IN(IN)	on
POmtg542_104:14	a-	XX(XX)	
POmtg542_104:15	or	CC(CC)	or
POmtg542_104:16	a-	XX(XX)	
POmtg542_104:17	an	DT(DT)	a
POmtg542_104:18	ability	NN(NN)	ability
POmtg542_104:19	to	TO(TO)	to
POmtg542_104:20	influence	VV(VV)	influence
POmtg542_104:21	it	PP(PP)	it
POmtg542_104:22	_0	PA(PA)	

POmtg542_105:1	hm	RE(RE)	hm

POmtg542_106:1	that	DT(DT)	that
POmtg542_106:2	's	VBS(VBS)	be
POmtg542_106:3	true	JJ(JJ)	true
POmtg542_106:4	_1	PA(PA)	
POmtg542_106:5	but	CC(CC)	but
POmtg542_106:6	in	IN(IN)	in
POmtg542_106:7	the	DT(DT)	the
POmtg542_106:8	hungarian	JJ(JJ)	hungarian
POmtg542_106:9	system	NN(NN)	system
POmtg542_106:10	this	DT(DT)	this
POmtg542_106:11	would	MD(MD)	will
POmtg542_106:12	fit	VV(VV)	fit
POmtg542_106:13	nicely	RB(RB)	nicely
POmtg542_106:14	in	IN(IN)	in
POmtg542_106:15	the	DT(DT)	the
POmtg542_106:16	finnish	JJ(JJ)	finnish
POmtg542_106:17	system	NN(NN)	system
POmtg542_106:18	it	PP(PP)	it
POmtg542_106:19	would	MD(MD)	will
POmtg542_106:20	fit	VV(VV)	fit
POmtg542_106:21	nicely	RB(RB)	nicely
POmtg542_106:22	would	MD(MD)	will
POmtg542_106:23	n't	RB(RB)	not
POmtg542_106:24	it	PP(PP)	it
POmtg542_106:25	_0	PA(PA)	

POmtg542_107:1	that	DT(DT)	that
POmtg542_107:2	's	VBS(VBS)	be
POmtg542_107:3	okay	JJ(JJ)	okay
POmtg542_107:4	_0	PA(PA)	

POmtg542_108:1	what	WP(WP)	what
POmtg542_108:2	would	MD(MD)	will
POmtg542_108:3	be	VB(VB)	be
POmtg542_108:4	the	DT(DT)	the
POmtg542_108:5	problem	NN(NN)	problem
POmtg542_108:6	in	IN(IN)	in
POmtg542_108:7	hungary	NP(NP)	hungary
POmtg542_108:8	er	UH(UH)	er
POmtg542_108:9	a_[S2]	NP(NP)	

POmtg542_109:1	ho-	XX(XX)	

POmtg542_110:1	er	UH(UH)	er
POmtg542_110:2	agency	NN(NN)	agency
POmtg542_110:3	takes	VVZ(VVZ)	take
POmtg542_110:4	part	NN(NN)	part
POmtg542_110:5	in	IN(IN)	in
POmtg542_110:6	the	DT(DT)	the
POmtg542_110:7	terms	NNS(NNS)	term
POmtg542_110:8	of	NNS(NNS)	of
POmtg542_110:9	reference	NNS(NNS)	reference
POmtg542_110:10	making	VVG(NN)	make/making
POmtg542_110:11	on	IN(IN)	on
POmtg542_110:12	the	DT(DT)	the
POmtg542_110:13	terms	NNS(NNS)	term
POmtg542_110:14	of	NNS(NNS)	of
POmtg542_110:15	reference	NNS(NNS)	reference
POmtg542_110:16	_0	PA(PA)	
POmtg542_110:17	it	PP(PP)	it
POmtg542_110:18	's	VBS(VBS)	be
POmtg542_110:19	not	RB(RB)	not
POmtg542_110:20	not	RB(RB)	not
POmtg542_110:21	a	DT(DT)	a
POmtg542_110:22	problem	NN(NN)	problem
POmtg542_110:23	in	IN(IN)	in
POmtg542_110:24	fact	NN(NN)	fact
POmtg542_110:25	just	RB(RB)	just
POmtg542_110:26	_1	PA(PA)	

POmtg542_111:1	but	CC(CC)	but
POmtg542_111:2	i	PP(PP)	i
POmtg542_111:3	do	VVP(VVP)	do
POmtg542_111:4	n't	RB(RB)	not
POmtg542_111:5	think	VV(VV)	think
POmtg542_111:6	they	PP(PP)	they
POmtg542_111:7	should	MD(MD)	shall
POmtg542_111:8	er	UH(UH)	er
POmtg542_111:9	a_[S2]	NP(NP)	
POmtg542_111:10	_0	PA(PA)	
POmtg542_111:11	because	IN(IN)	because
POmtg542_111:12	that	DT(DT)	that
POmtg542_111:13	's	VBS(VBS)	be
POmtg542_111:14	as	RB(RB)	as
POmtg542_111:15	clos-	XX(XX)	
POmtg542_111:16	close	RB(RB)	close
POmtg542_111:17	to	IN(IN)	to
POmtg542_111:18	a	DT(DT)	a
POmtg542_111:19	home	NN(NN)	home
POmtg542_111:20	base	NN(NN)	base

POmtg542_112:1	when	WRB(WRB)	when
POmtg542_112:2	you	PP(PP)	you
POmtg542_112:3	're	VBP(VBP)	be
POmtg542_112:4	on	IN(IN)	on
POmtg542_112:5	_0	PA(PA)	
POmtg542_112:6	when	WRB(WRB)	when
POmtg542_112:7	you	PP(PP)	you
POmtg542_112:8	are	VBP(VBP)	be
POmtg542_112:9	been	VBN(VBN)	be
POmtg542_112:10	_0	PA(PA)	
POmtg542_112:11	evaluated	VVN(VVN)	evaluate
POmtg542_112:12	even	RB(RB)	even
POmtg542_112:13	then	RB(RB)	then
POmtg542_112:14	they	PP(PP)	they
POmtg542_112:15	would	MD(MD)	will
POmtg542_112:16	_0	PA(PA)	

POmtg542_113:1	w-	XX(XX)	
POmtg542_113:2	we	PP(PP)	we
POmtg542_113:3	made	VVD(VVD)	make
POmtg542_113:4	the	DT(DT)	the
POmtg542_113:5	terms	NNS(NNS)	term
POmtg542_113:6	of	NNS(NNS)	of
POmtg542_113:7	reference	NNS(NNS)	reference
POmtg542_113:8	in	IN(IN)	in
POmtg542_113:9	fact	NN(NN)	fact
POmtg542_113:10	_0	PA(PA)	

POmtg542_114:1	mhm	RE(RE)	mhm
POmtg542_114:2	_2	PA(PA)	

POmtg542_115:1	but	CC(CC)	but
POmtg542_115:2	_1	PA(PA)	

POmtg542_116:1	but	CC(CC)	but
POmtg542_116:2	it	PP(PP)	it
POmtg542_116:3	's	VBS(VBS)	be
POmtg542_116:4	a	DT(DT)	a
POmtg542_116:5	good	JJ(JJ)	good
POmtg542_116:6	point	NN(NN)	point
POmtg542_116:7	i	PP(DM)	i
POmtg542_116:8	mean	VVP(DM)	mean
POmtg542_116:9	erm	UH(UH)	erm
POmtg542_116:10	_0	PA(PA)	

POmtg542_117:1	mhm	RE(RE)	mhm
POmtg542_117:2	_1	PA(PA)	

POmtg542_118:1	we	PP(PP)	we
POmtg542_118:2	make	VVP(VVP)	make
POmtg542_118:3	a	DT(DT)	a
POmtg542_118:4	cross	NN(NN)	cross
POmtg542_118:5	in	IN(IN)	in
POmtg542_118:6	er	UH(UH)	er
POmtg542_118:7	in	IN(IN)	in
POmtg542_118:8	the	DT(DT)	the
POmtg542_118:9	parentheses	NNS(NNS)	parenthesis
POmtg542_118:10	_0	PA(PA)	
POmtg542_118:11	and	CC(CC)	and
POmtg542_118:12	we	PP(PP)	we
POmtg542_118:13	should	MD(MD)	shall
POmtg542_118:14	ha-	XX(XX)	
POmtg542_118:15	we	PP(PP)	we
POmtg542_118:16	should	MD(MD)	shall
POmtg542_118:17	have	VH(VH)	have
POmtg542_118:18	some	DT(DT)	some
POmtg542_118:19	blank	JJ(JJ)	blank
POmtg542_118:20	spaces	NNS(NNS)	space
POmtg542_118:21	just	RB(RB)	just
POmtg542_118:22	_0	PA(PA)	

POmtg542_119:1	@@@	LA(LA)	
POmtg542_119:2	everybody	NN(NN)	everybody
POmtg542_119:3	do	VV(VV)	do
POmtg542_119:4	everything	NN(NN)	everything

POmtg542_120:1	@@	LA(LA)	

POmtg542_121:1	yeah	RE(RE)	yeah

POmtg542_122:1	er	UH(UH)	er
POmtg542_122:2	i	PP(PP)	i
POmtg542_122:3	'm	VBP(VBP)	be
POmtg542_122:4	st-	XX(XX)	
POmtg542_122:5	still	RB(RB)	still
POmtg542_122:6	think-	XX(XX)	
POmtg542_122:7	ah	UH(UH)	ah
POmtg542_122:8	sorry	FI(FI)	sorry
POmtg542_122:9	k-	XX(XX)	
POmtg542_122:10	a_[S2]	NP(NP)	

POmtg542_123:1	what	WDT(WDT)/WP(WP)	what

POmtg542_124:1	n-	XX(XX)	

POmtg542_125:1	hh	BR(BR)	
POmtg542_125:2	just	RB(RB)	just
POmtg542_125:3	one	CD(CD)	one
POmtg542_125:4	wh-	XX(XX)	
POmtg542_125:5	what	WP(WP)	what
POmtg542_125:6	's	VBS(VBS)	be
POmtg542_125:7	more	RBR(RBR)	more
POmtg542_125:8	_0	PA(PA)	
POmtg542_125:9	even	RB(RB)	even
POmtg542_125:10	er	UH(UH)	er
POmtg542_125:11	while	IN(IN)	while
POmtg542_125:12	it	PP(PP)	it
POmtg542_125:13	was	VBD(VBD)	be
POmtg542_125:14	not	RB(RB)	not
POmtg542_125:15	a	DT(DT)	a
POmtg542_125:16	simple	JJ(JJ)	simple
POmtg542_125:17	case	NN(NN)	case
POmtg542_125:18	and	CC(CC)	and
POmtg542_125:19	it	PP(PP)	it
POmtg542_125:20	was	VBD(VBD)	be
POmtg542_125:21	based	JJ(JJ)	based
POmtg542_125:22	on	IN(IN)	on
POmtg542_125:23	a	DT(DT)	a
POmtg542_125:24	world	NP(NP)	world
POmtg542_125:25	bank	NP(NP)	bank
POmtg542_125:26	_0	PA(PA)	
POmtg542_125:27	procedure	NN(NN)	procedure
POmtg542_125:28	but	CC(CC)	but
POmtg542_125:29	even	RB(RB)	even
POmtg542_125:30	the	DT(DT)	the
POmtg542_125:31	e-	XX(XX)	
POmtg542_125:32	experts	NNS(NNS)	expert
POmtg542_125:33	were	VBD(VBD)	be
POmtg542_125:34	appointed	VVN(VVN)	appoint
POmtg542_125:35	by	IN(IN)	by
POmtg542_125:36	us	PP(PP)	we
POmtg542_125:37	_0	PA(PA)	
POmtg542_125:38	in	IN(IN)	in
POmtg542_125:39	a	DT(DT)	a
POmtg542_125:40	sense	NN(NN)	sense
POmtg542_125:41	_0	PA(PA)	

POmtg542_126:1	i	PP(PP)	i
POmtg542_126:2	xxxxx	UNI(UNI)	
POmtg542_126:3	but	CC(CC)	but
POmtg542_126:4	yes	RE(RE)	yes

POmtg542_127:1	so	DM(DM)	so

POmtg542_128:1	when	WRB(WRB)	when
POmtg542_128:2	you	PP(PP)	you
POmtg542_128:3	are	VBP(VBP)	be
