POwgd449_1:1	language	NN(NN)	language
POwgd449_141:5	_0	PA(PA)	
POwgd449_141:6	determine	VV(VV)	determine
POwgd449_141:7	_0	PA(PA)	
POwgd449_141:8	where	WRB(WRB)	where
POwgd449_141:9	_0	PA(PA)	
POwgd449_141:10	what	WP(WP)	what
POwgd449_141:11	what	WP(WP)	what
POwgd449_141:12	's	VBS(VBS)	be
POwgd449_141:13	what	WP(WP)	what
POwgd449_141:14	's	VBS(VBS)	be
POwgd449_141:15	the	DT(DT)	the
POwgd449_141:16	role	NN(NN)	role
POwgd449_141:17	of	IN(IN)	of
POwgd449_141:18	food	NN(NN)	food
POwgd449_141:19	going	VVG(VVG)	go
POwgd449_141:20	to	TO(TO)	to
POwgd449_141:21	be	VB(VB)	be
POwgd449_141:22	or	CC(CC)	or

POwgd449_142:1	yeah	RE(RE)	yeah
POwgd449_142:2	yeah	RE(RE)	yeah
POwgd449_142:3	_0	PA(PA)	
POwgd449_142:4	so	DM(DM)	so
POwgd449_142:5	that	DT(DT)	that
POwgd449_142:6	was	VBD(VBD)	be
POwgd449_142:7	more	RB(RB)	more
POwgd449_142:8	or	RB(RB)	or
POwgd449_142:9	less	RB(RB)	less
POwgd449_142:10	i	PP(PP)	i
POwgd449_142:11	was	VBD(VBD)	be
POwgd449_142:12	thinking	VVG(VVG)	think
POwgd449_142:13	about	IN(IN)	about

POwgd449_143:1	so	DM(DM)	so
POwgd449_143:2	define	VV(VV)	define
POwgd449_143:3	the	DT(DT)	the
POwgd449_143:4	activity	NN(NN)	activity
POwgd449_143:5	_0	PA(PA)	
POwgd449_143:6	to	TO(TO)	to
POwgd449_143:7	define	VV(VV)	define
POwgd449_143:8	the	DT(DT)	the
POwgd449_143:9	role	NN(NN)	role
POwgd449_143:10	of	IN(IN)	of

POwgd449_144:1	or	CC(CC)	or
POwgd449_144:2	or	CC(CC)	or
POwgd449_144:3	define	VV(VV)	define
POwgd449_144:4	_0	PA(PA)	
POwgd449_144:5	yeah	RE(RE)	yeah
POwgd449_144:6	_13	PA(PA)	

POwgd449_145:1	xxx	UNI(UNI)	
POwgd449_145:2	minute	NN(NN)	minute

POwgd449_146:1	just	RB(RB)	just
POwgd449_146:2	for	IN(IN)	for
POwgd449_146:3	a	DT(DT)	a
POwgd449_146:4	change	NN(NN)	change

POwgd449_147:1	or	CC(CC)	or
POwgd449_147:2	_1	PA(PA)	

POwgd449_148:1	the	DT(DT)	the
POwgd449_148:2	er	UH(UH)	er
POwgd449_148:3	i	PP(PP)	i
POwgd449_148:4	do	VVP(VVP)	do
POwgd449_148:5	n't	RB(RB)	not
POwgd449_148:6	know	VV(VV)	know
POwgd449_148:7	_2	PA(PA)	
POwgd449_148:8	and	CC(CC)	and
POwgd449_148:9	do	VV(VV)	do
POwgd449_148:10	n't	RB(RB)	not
POwgd449_148:11	_0	PA(PA)	
POwgd449_148:12	do	VV(VV)	do
POwgd449_148:13	n't	RB(RB)	not
POwgd449_148:14	rely	VV(VV)	rely
POwgd449_148:15	on	IN(IN)	on
POwgd449_148:16	that	DT(DT)	that
POwgd449_148:17	as	IN(IN)	as
POwgd449_148:18	an	DT(DT)	a
POwgd449_148:19	email	VV(VV)	email
POwgd449_148:20	you	PP(DM)	you
POwgd449_148:21	know	VVP(DM)	know
POwgd449_148:22	_3	PA(PA)	

POwgd449_149:1	you	PP(PP)	you
POwgd449_149:2	said	VVD(VVD)	say
POwgd449_149:3	before	RB(RB)	before

POwgd449_150:1	refer	VV(VV)	refer
POwgd449_150:2	and	CC(CC)	and
POwgd449_150:3	approaching	VVG(VVG)	approach
POwgd449_150:4	media	NN(NN)	media

POwgd449_151:1	oh	UH(UH)	oh
POwgd449_151:2	okay	RE(RE)	okay
POwgd449_151:3	_9	PA(PA)	

POwgd449_152:1	let	VV(VV)	let
POwgd449_152:2	's	PP(PP)	we

POwgd449_153:1	mhm	RE(RE)	mhm
POwgd449_153:2	_9	PA(PA)	

POwgd449_154:1	it	PP(PP)	it
POwgd449_154:2	's	VBS(VBS)	be
POwgd449_154:3	in	IN(IN)	in
POwgd449_154:4	the	DT(DT)	the
POwgd449_154:5	media	NN(NN)	media
POwgd449_154:6	_5	PA(PA)	

POwgd449_155:1	publicity	NN(NN)	publicity
POwgd449_155:2	_0	PA(PA)	
POwgd449_155:3	i	PP(PP)	i
POwgd449_155:4	'm	VBP(VBP)	be
POwgd449_155:5	thinking	VVG(VVG)	think
POwgd449_155:6	about	IN(IN)	about
POwgd449_155:7	publicity	NN(NN)	publicity
POwgd449_155:8	_2	PA(PA)	
POwgd449_155:9	erm	UH(UH)	erm
POwgd449_155:10	_0	PA(PA)	
POwgd449_155:11	try	VV(VV)	try
POwgd449_155:12	to	TO(TO)	to
POwgd449_155:13	well	DM(DM)	well
POwgd449_155:14	yeah	RE(RE)	yeah
POwgd449_155:15	try	VV(VV)	try
POwgd449_155:16	to	TO(TO)	to
POwgd449_155:17	include	VV(VV)	include
POwgd449_155:18	your	PP$(PP$)	you
POwgd449_155:19	erm	UH(UH)	erm
POwgd449_155:20	publicity	NN(NN)	publicity
POwgd449_155:21	and	CC(CC)	and
POwgd449_155:22	to	IN(IN)	to
POwgd449_155:23	_0	PA(PA)	
POwgd449_155:24	somebody	NN(NN)	somebody
POwgd449_155:25	else	RB(RB)	else
POwgd449_155:26	's	POS(POS)	's
POwgd449_155:27	er	UH(UH)	er

POwgd449_156:1	er	UH(UH)	er

POwgd449_157:1	publicity	NN(NN)	publicity

POwgd449_158:1	producing	VVG(VVG)	produce
POwgd449_158:2	the	DT(DT)	the
POwgd449_158:3	the	DT(DT)	the
POwgd449_158:4	the	DT(DT)	the

POwgd449_159:1	how	WRB(WRB)	how

POwgd449_160:1	dissemination	NN(NN)	dissemination
POwgd449_160:2	the	DT(DT)	the
POwgd449_160:3	literal	JJ(JJ)	literal

POwgd449_161:1	includes	VVZ(VVZ)	include
POwgd449_161:2	_0	PA(PA)	
POwgd449_161:3	try	VV(VV)	try
POwgd449_161:4	to	TO(TO)	to
POwgd449_161:5	include	VV(VV)	include
POwgd449_161:6	erm	UH(UH)	erm
POwgd449_161:7	_27	PA(PA)	

POwgd449_162:1	the	DT(DT)	the
POwgd449_162:2	publicity	NN(NN)	publicity
POwgd449_162:3	in	IN(IN)	in
POwgd449_162:4	the	DT(DT)	the
POwgd449_162:5	right	JJ(JJ)	right
POwgd449_162:6	places	NNS(NNS)	place
POwgd449_162:7	_0	PA(PA)	
POwgd449_162:8	or	CC(CC)	or
POwgd449_162:9	it	PP(PP)	it
POwgd449_162:10	can	MD(MD)	can
POwgd449_162:11	be	VB(VB)	be
POwgd449_162:12	in	IN(IN)	in
POwgd449_162:13	several	JJ(JJ)	several
POwgd449_162:14	different	JJ(JJ)	different
POwgd449_162:15	situations	NNS(NNS)	situation

POwgd449_163:1	think	VVP(VVP)	think
POwgd449_163:2	about	IN(IN)	about
POwgd449_163:3	the	DT(DT)	the
POwgd449_163:4	_0	PA(PA)	
POwgd449_163:5	places	NNS(NNS)	place
POwgd449_163:6	we	PP(PP)	we
POwgd449_163:7	do	VVP(VVP)	do
POwgd449_163:8	n't	RB(RB)	not
POwgd449_163:9	want	VV(VV)	want
POwgd449_163:10	to	IN(IN)/TO(TO)	to

POwgd449_164:1	yeah	RE(RE)	yeah
POwgd449_164:2	so	DM(DM)	so
POwgd449_164:3	we	PP(PP)	we
POwgd449_164:4	_9	PA(PA)	
POwgd449_164:5	p_bilinguists	PVC(NNS)	
POwgd449_164:6	_0	PA(PA)	
POwgd449_164:7	also	RB(RB)	also
POwgd449_164:8	xx	UNI(UNI)	

POwgd449_165:1	so	DM(DM)	so
POwgd449_165:2	cancel	VV(VV)	cancel
POwgd449_165:3	this	DT(DT)	this

POwgd449_166:1	yeah	RE(RE)	yeah

POwgd449_167:1	because	IN(IN)	because
POwgd449_167:2	it	PP(PP)	it
POwgd449_167:3	's	VBS(VBS)	be
POwgd449_167:4	it	PP(PP)	it
POwgd449_167:5	's	VBS(VBS)	be
POwgd449_167:6	a	DT(DT)	a
POwgd449_167:7	the	DT(DT)	the
POwgd449_167:8	free	JJ(JJ)	free
POwgd449_167:9	thing	NN(NN)	thing
POwgd449_167:10	_0	PA(PA)	
POwgd449_167:11	well	DM(DM)	well

POwgd449_168:1	sorry	FI(FI)	sorry

POwgd449_169:1	p_bilinguists	PVC(NNS)	
POwgd449_169:2	also	RB(RB)	also

POwgd449_170:1	what	WP(WP)	what
POwgd449_170:2	did	VVD(VVD)	do
POwgd449_170:3	he	PP(PP)	he
POwgd449_170:4	put	VV(VV)	put
POwgd449_170:5	down	RB(RB)	down
POwgd449_170:6	at	IN(IN)	at
POwgd449_170:7	the	DT(DT)	the
POwgd449_170:8	second	JJ(JJ)	second
POwgd449_170:9	one	NN(NN)	one
POwgd449_170:10	_1	PA(PA)	
POwgd449_170:11	so	DM(DM)	so
POwgd449_170:12	include	VV(VV)	include
POwgd449_170:13	your	PP$(PP$)	you
POwgd449_170:14	own	JJ(JJ)	own
POwgd449_170:15	publicity	NN(NN)	publicity
POwgd449_170:16	in	IN(IN)	in
POwgd449_170:17	the	DT(DT)	the
POwgd449_170:18	right	JJ(JJ)	right
POwgd449_170:19	places	NNS(NNS)	place

POwgd449_171:1	well	DM(DM)	well
POwgd449_171:2	i	PP(PP)	i
POwgd449_171:3	'm	VBP(VBP)	be
POwgd449_171:4	_0	PA(PA)	
POwgd449_171:5	erm	UH(UH)	erm
POwgd449_171:6	i	PP(PP)	i
POwgd449_171:7	'm	VBP(VBP)	be
POwgd449_171:8	going	VVG(VVG)	go
POwgd449_171:9	to	TO(TO)	to
POwgd449_171:10	write	VV(VV)	write
POwgd449_171:11	them	PP(PP)	they
POwgd449_171:12	down	RP(RP)	down

POwgd449_172:1	include	VV(VV)	include
POwgd449_172:2	to	TO(TO)	to
POwgd449_172:3	try	VV(VV)	try
POwgd449_172:4	to	TO(TO)	to
POwgd449_172:5	include	VV(VV)	include
POwgd449_172:6	your	PP$(PP$)	you
POwgd449_172:7	own	JJ(JJ)	own
POwgd449_172:8	publicity	NN(NN)	publicity
POwgd449_172:9	into	IN(IN)	into
POwgd449_172:10	_0	PA(PA)	
POwgd449_172:11	publicity	NN(NN)	publicity
POwgd449_172:12	campaign	NN(NN)	campaign
POwgd449_172:13	that	PRE(PRE)	that
POwgd449_172:14	_0	PA(PA)	
POwgd449_172:15	somebody	NN(NN)	somebody
POwgd449_172:16	else	RB(RB)	else
POwgd449_172:17	already	RB(RB)	already
POwgd449_172:18	_0	PA(PA)	
POwgd449_172:19	has	VHZ(VHZ)	have
POwgd449_172:20	_0	PA(PA)	

POwgd449_173:1	mhm	RE(RE)	mhm

POwgd449_174:1	creating	VVG(VVG)/VVG(VVN)	create
POwgd449_174:2	mailing	VVG(NNS)	mail/mailing
POwgd449_174:3	lists	NNS(NNS)	list
POwgd449_174:4	_0	PA(PA)	

POwgd449_175:1	oh	UH(UH)	oh
POwgd449_175:2	yes	RE(RE)	yes

POwgd449_176:1	because	IN(IN)	because
POwgd449_176:2	it	PP(PP)	it
POwgd449_176:3	's	VBS(VBS)	be

POwgd449_177:1	erm	UH(UH)	erm

POwgd449_178:1	you	PP(PP)	you
POwgd449_178:2	can	MD(MD)	can
POwgd449_178:3	send	VV(VV)	send

POwgd449_179:1	use	VV(VV)	use
POwgd449_179:2	your	PP$(PP$)	you
POwgd449_179:3	network	NN(NN)	network

POwgd449_180:1	yeah	RE(RE)	yeah
POwgd449_180:2	_0	PA(PA)	
POwgd449_180:3	you	PP(PP)	you
POwgd449_180:4	sent	VVD(VVD)	send
POwgd449_180:5	in	IN(IN)	in
POwgd449_180:6	five	CD(CD)	five
POwgd449_180:7	hundred	CD(CD)	hundred
POwgd449_180:8	or	CC(CC)	or
POwgd449_180:9	something	NN(NN)	something
POwgd449_180:10	and	CC(CC)	and
POwgd449_180:11	it	PP(PP)	it
POwgd449_180:12	is	VBZ(VBZ)	be
POwgd449_180:13	you	PP(PP)	you
POwgd449_180:14	did	VVD(VVD)	do
POwgd449_180:15	a	DT(DT)	a
POwgd449_180:16	computer	NN(NN)	computer
POwgd449_180:17	there	RB(RB)	there
POwgd449_180:18	_0	PA(PA)	
POwgd449_180:19	and	CC(CC)	and
POwgd449_180:20	it	PP(PP)	it
POwgd449_180:21	's	VBS(VBS)	be
POwgd449_180:22	free	JJ(JJ)	free
POwgd449_180:23	you	PP(DM)	you
POwgd449_180:24	know	VVP(DM)	know
POwgd449_180:25	it	PP(PP)	it
POwgd449_180:26	's	VBS(VBS)	be
POwgd449_180:27	_0	PA(PA)	

POwgd449_181:1	what	WDT(WDT)	what
POwgd449_181:2	kind	NN(NN)	kind
POwgd449_181:3	of	IN(IN)	of
POwgd449_181:4	mailing	VVG(NN)	mail/mailing
POwgd449_181:5	list	NN(NN)	list
POwgd449_181:6	d-	XX(XX)	
POwgd449_181:7	d-	XX(XX)	
POwgd449_181:8	do	VVP(VVP)	do
POwgd449_181:9	you	PP(PP)	you
POwgd449_181:10	use	VV(VV)	use
POwgd449_181:11	a	DT(DT)	a
POwgd449_181:12	forum	NN(NN)	forum
POwgd449_181:13	or	CC(CC)	or

POwgd449_182:1	no	RE(RE)	no
POwgd449_182:2	no	RE(RE)	no
POwgd449_182:3	no	RE(RE)	no
POwgd449_182:4	_0	PA(PA)	
POwgd449_182:5	it	PP(PP)	it
POwgd449_182:6	's	VBS(VBS)	be
POwgd449_182:7	in	IN(IN)	in
POwgd449_182:8	the	DT(DT)	the
POwgd449_182:9	outlook	NP(NP)	outlook
POwgd449_182:10	express	NP(NP)	express

POwgd449_183:1	ah	UH(UH)	ah
POwgd449_183:2	customers	NNS(NNS)	customer
POwgd449_183:3	of	IN(IN)	of
POwgd449_183:4	yours	PP(PP)	you

POwgd449_184:1	xxxx	UNI(UNI)	
POwgd449_184:2	xx	UNI(UNI)	
POwgd449_184:3	back	RB(RB)	back
POwgd449_184:4	there	RB(RB)	there

POwgd449_185:1	oh	UH(UH)	oh
POwgd449_185:2	yes	RE(RE)	yes
POwgd449_185:3	_0	PA(PA)	
POwgd449_185:4	but	CC(CC)	but
POwgd449_185:5	no-	XX(XX)	
POwgd449_185:6	not	RB(RB)	not
POwgd449_185:7	everyone	NN(NN)	everyone
POwgd449_185:8	has	VHZ(VHZ)	have
POwgd449_185:9	that	DT(DT)	that
POwgd449_185:10	_1	PA(PA)	

POwgd449_186:1	no	RE(RE)	no

POwgd449_187:1	yeah	RE(RE)	yeah
POwgd449_187:2	but	CC(CC)	but
POwgd449_187:3	er	UH(UH)	er
POwgd449_187:4	po-	XX(XX)	
POwgd449_187:5	in	IN(IN)	in
POwgd449_187:6	in	IN(IN)	in

POwgd449_188:1	but	CC(CC)	but
POwgd449_188:2	then	RB(RB)	then
POwgd449_188:3	_0	PA(PA)	
POwgd449_188:4	what	WP(WP)	what
POwgd449_188:5	what	WP(WP)	what
POwgd449_188:6	_0	PA(PA)	
POwgd449_188:7	most	JJS(JJS)	most
POwgd449_188:8	organizations	NNS(NNS)	organization
POwgd449_188:9	have	VHP(VHP)	have
POwgd449_188:10	they	PP(PP)	they
POwgd449_188:11	do	VVP(VVP)	do
POwgd449_188:12	have	VH(VH)	have
POwgd449_188:13	mailing	VVG(NNS)	mail/mailing
POwgd449_188:14	lists	NNS(NNS)	list
POwgd449_188:15	of	IN(IN)	of
POwgd449_188:16	p_ex-students	PVC(NNS)	
POwgd449_188:17	p_ex-employees	PVC(NNS)	

POwgd449_189:1	yeah	RE(RE)	yeah
POwgd449_189:2	you	PP(PP)	you
POwgd449_189:3	have	VHP(VHP)	have
POwgd449_189:4	everything	NN(NN)	everything
POwgd449_189:5	you	PP(PP)	you
POwgd449_189:6	just	RB(RB)	just
POwgd449_189:7	choose	VVP(VVP)	choose
POwgd449_189:8	them	PP(PP)	they
POwgd449_189:9	in	IN(IN)	in
POwgd449_189:10	the	DT(DT)	the
POwgd449_189:11	lists	NNS(NNS)	list
POwgd449_189:12	_0	PA(PA)	

POwgd449_190:1	yeah	RE(RE)	yeah

POwgd449_191:1	and	CC(CC)	and
POwgd449_191:2	you	PP(PP)	you
POwgd449_191:3	s-	XX(XX)	
POwgd449_191:4	you	PP(PP)	you
POwgd449_191:5	said	VVD(VVD)	say
POwgd449_191:6	it	PP(PP)	it
POwgd449_191:7	like	IN(IN)	like
POwgd449_191:8	that	DT(DT)	that
POwgd449_191:9	_0	PA(PA)	
POwgd449_191:10	and	CC(CC)	and
POwgd449_191:11	er	UH(UH)	er
POwgd449_191:12	_1	PA(PA)	

POwgd449_192:1	i	PP(PP)	i
POwgd449_192:2	have	VHP(VHP)	have
POwgd449_192:3	to	TO(TO)	to
POwgd449_192:4	xx	UNI(UNI)	
POwgd449_192:5	for	IN(IN)	for
POwgd449_192:6	free	JJ(JJ)	free

POwgd449_193:1	the	DT(DT)	the
POwgd449_193:2	rest	NN(NN)	rest
POwgd449_193:3	of	IN(IN)	of
POwgd449_193:4	them	PP(PP)	they
POwgd449_193:5	did	VVD(VVD)	do
POwgd449_193:6	n't	RB(RB)	not
POwgd449_193:7	say	VV(VV)	say
POwgd449_193:8	and	CC(CC)	and
POwgd449_193:9	the	DT(DT)	the
POwgd449_193:10	embassy	NN(NN)	embassy
POwgd449_193:11	would	MD(MD)	will
POwgd449_193:12	n't	RB(RB)	not
POwgd449_193:13	send	VV(VV)	send

POwgd449_194:1	yeah	RE(RE)	yeah

POwgd449_195:1	we	PP(PP)	we
POwgd449_195:2	were	VBD(VBD)	be
POwgd449_195:3	sending	VVG(VVG)	send

POwgd449_196:1	try	VV(VV)	try
POwgd449_196:2	try	VV(VV)	try
POwgd449_196:3	to	TO(TO)	to
POwgd449_196:4	use	VV(VV)	use
POwgd449_196:5	the	DT(DT)	the
POwgd449_196:6	powerpoint	NP(NP)	powerpoint

POwgd449_197:1	yeah	RE(RE)	yeah
POwgd449_197:2	we	PP(PP)	we
POwgd449_197:3	were	VBD(VBD)	be
POwgd449_197:4	sending	VVG(VVG)	send
POwgd449_197:5	_0	PA(PA)	
POwgd449_197:6	you	PP(DM)	you
POwgd449_197:7	know	VVP(DM)	know
POwgd449_197:8	and	CC(CC)	and
POwgd449_197:9	and	CC(CC)	and
POwgd449_197:10	even	RB(RB)	even
POwgd449_197:11	_0	PA(PA)	
POwgd449_197:12	i	PP(PP)	i
POwgd449_197:13	do	VVP(VVP)	do
POwgd449_197:14	n't	RB(RB)	not
POwgd449_197:15	know	VV(VV)	know
POwgd449_197:16	people	NNS(NNS)	people
POwgd449_197:17	that	PRE(PRE)	that
POwgd449_197:18	were	VBD(VBD)	be
POwgd449_197:19	stupid	JJ(JJ)	stupid
POwgd449_197:20	would	MD(MD)	will
POwgd449_197:21	n't	RB(RB)	not
POwgd449_197:22	send	VV(VV)	send
POwgd449_197:23	to	IN(IN)	to
POwgd449_197:24	an	DT(DT)	a
POwgd449_197:25	in-	XX(XX)	
POwgd449_197:26	because	IN(IN)	because
POwgd449_197:27	it	PP(PP)	it
POwgd449_197:28	it	PP(PP)	it
POwgd449_197:29	's	VBS(VBS)	be
POwgd449_197:30	quite	RB(RB)	quite
POwgd449_197:31	_0	PA(PA)	
POwgd449_197:32	nice	JJ(JJ)	nice
POwgd449_197:33	_0	PA(PA)	
POwgd449_197:34	imagine	VV(VV)	imagine
POwgd449_197:35	you	PP(PP)	you
POwgd449_197:36	receive	VVP(VVP)	receive
POwgd449_197:37	that	DT(DT)	that
POwgd449_197:38	_0	PA(PA)	
POwgd449_197:39	and	CC(CC)	and
POwgd449_197:40	it	PP(PP)	it
POwgd449_197:41	's	VBS(VBS)	be
POwgd449_197:42	oh	UH(UH)	oh
POwgd449_197:43	it	PP(PP)	it
POwgd449_197:44	must	MD(MD)	must
POwgd449_197:45	be	VB(VB)	be
POwgd449_197:46	nice	JJ(JJ)	nice
POwgd449_197:47	_0	PA(PA)	
POwgd449_197:48	let	VV(VV)	let
POwgd449_197:49	me	PP(PP)	i
POwgd449_197:50	see	VV(VV)	see
POwgd449_197:51	it	PP(PP)	it
POwgd449_197:52	through	IN(IN)	through
POwgd449_197:53	my	PP$(PP$)	i
POwgd449_197:54	mail	NN(NN)	mail
POwgd449_197:55	to	TO(TO)	to
POwgd449_197:56	see	VV(VV)	see

POwgd449_198:1	yeah	RE(RE)	yeah

POwgd449_199:1	if	IN(IN)	if
POwgd449_199:2	he	PP(PP)	he
POwgd449_199:3	wants	VVZ(VVZ)	want
POwgd449_199:4	to	TO(TO)	to
POwgd449_199:5	come	VV(VV)	come
POwgd449_199:6	with	IN(IN)	with
POwgd449_199:7	me	PP(PP)	i
POwgd449_199:8	_0	PA(PA)	

POwgd449_200:1	yeah	RE(RE)	yeah

POwgd449_201:1	and	CC(CC)	and
POwgd449_201:2	you	PP(PP)	you
POwgd449_201:3	send	VVP(VVP)	send
POwgd449_201:4	them	PP(PP)	they
POwgd449_201:5	and	CC(CC)	and
POwgd449_201:6	everybody	NN(NN)	everybody
POwgd449_201:7	else	RB(RB)	else
POwgd449_201:8	will	MD(MD)	will
POwgd449_201:9	yeah	RE(RE)	yeah
POwgd449_201:10	because	IN(IN)	because
POwgd449_201:11	they	PP(PP)	they
POwgd449_201:12	are	VBP(VBP)	be
POwgd449_201:13	at	IN(IN)	at
POwgd449_201:14	home	NN(NN)	home
POwgd449_201:15	_0	PA(PA)	
POwgd449_201:16	which	PRE(PRE)	which
POwgd449_201:17	is	VBZ(VBZ)	be

POwgd449_202:1	erm	UH(UH)	erm
POwgd449_202:2	a	DT(DT)	a
POwgd449_202:3	powerpoint	NP(NP)	powerpoint
POwgd449_202:4	presentation	NN(NN)	presentation
POwgd449_202:5	_4	PA(PA)	

POwgd449_203:1	i	PP(PP)	i
POwgd449_203:2	do	VVP(VVP)	do
POwgd449_203:3	n't	RB(RB)	not
POwgd449_203:4	like	VV(VV)	like
POwgd449_203:5	powerpoint	NP(NP)	powerpoint
POwgd449_203:6	presentations	NNS(NNS)	presentation
POwgd449_203:7	@@	LA(LA)	

POwgd449_204:1	how	WRB(WRB)	how

POwgd449_205:1	i	PP(PP)	i
POwgd449_205:2	do	VVP(VVP)	do
POwgd449_205:3	n't	RB(RB)	not
POwgd449_205:4	like	VV(VV)	like
POwgd449_205:5	them	PP(PP)	they

POwgd449_206:1	that	DT(DT)	that
POwgd449_206:2	would	MD(MD)	will
POwgd449_206:3	one	CD(CD)	one
POwgd449_206:4	thing	NN(NN)	thing
POwgd449_206:5	i	PP(PP)	i
POwgd449_206:6	was	VBD(VBD)	be

POwgd449_207:1	it	PP(PP)	it
POwgd449_207:2	could	MD(MD)	can
POwgd449_207:3	be	VB(VB)	be
POwgd449_207:4	there	RB(RB)	there
POwgd449_207:5	on	IN(IN)	on
POwgd449_207:6	the	DT(DT)	the
POwgd449_207:7	wall	NN(NN)	wall
POwgd449_207:8	and	CC(CC)	and
POwgd449_207:9	everyone	NN(NN)	everyone
POwgd449_207:10	sees	VVZ(VVZ)	see
POwgd449_207:11	it	PP(PP)	it

POwgd449_208:1	yeah	RE(RE)	yeah

POwgd449_209:1	that	DT(DT)	that
POwgd449_209:2	_0	PA(PA)	
POwgd449_209:3	that	DT(DT)	that
POwgd449_209:4	is	VBZ(VBZ)	be
POwgd449_209:5	one	CD(CD)	one
POwgd449_209:6	thing	NN(NN)	thing
POwgd449_209:7	that	PRE(PRE)	that
POwgd449_209:8	i	PP(PP)	i
POwgd449_209:9	was	VBD(VBD)	be
POwgd449_209:10	i	PP(PP)	i
POwgd449_209:11	was	VBD(VBD)	be
POwgd449_209:12	going	VVG(VVG)	go
POwgd449_209:13	to	TO(TO)	to
POwgd449_209:14	do	VV(VV)	do

POwgd449_210:1	or	CC(CC)	or
POwgd449_210:2	accompanied	VVN(VVN)	accompany
POwgd449_210:3	by	IN(IN)	by
POwgd449_210:4	kind	RB(RB)	kind
POwgd449_210:5	of	RB(RB)	of
POwgd449_210:6	xx	UNI(UNI)	
POwgd449_210:7	thing	NN(NN)	thing

POwgd449_211:1	that	DT(DT)	that
POwgd449_211:2	is	VBZ(VBZ)	be
POwgd449_211:3	one	CD(CD)	one
POwgd449_211:4	thing	NN(NN)	thing

POwgd449_212:1	i	PP(DM)	i
POwgd449_212:2	mean	VVP(DM)	mean

POwgd449_213:1	i	PP(PP)	i
POwgd449_213:2	was	VBD(VBD)	be
POwgd449_213:3	going	VVG(VVG)	go
POwgd449_213:4	to	TO(TO)	to
POwgd449_213:5	i	PP(PP)	i
POwgd449_213:6	was	VBD(VBD)	be
POwgd449_213:7	glad	JJ(JJ)	glad
POwgd449_213:8	i	PP(PP)	i
POwgd449_213:9	did	VVD(VVD)	do
POwgd449_213:10	n't	RB(RB)	not
POwgd449_213:11	_0	PA(PA)	
POwgd449_213:12	i	PP(PP)	i
POwgd449_213:13	think	VVP(VVP)	think
POwgd449_213:14	it	PP(PP)	it
POwgd449_213:15	would	MD(MD)	will
POwgd449_213:16	get	VV(VV)	get
POwgd449_213:17	xxx	UNI(UNI)	
POwgd449_213:18	bored	JJ(JJ)	bored
POwgd449_213:19	and	CC(CC)	and
POwgd449_213:20	_0	PA(PA)	
POwgd449_213:21	you	PP(DM)	you
POwgd449_213:22	know	VVP(DM)	know

POwgd449_214:1	yeah	RE(RE)	yeah
POwgd449_214:2	that	DT(DT)	that
POwgd449_214:3	's	VBS(VBS)	be
POwgd449_214:4	what	WP(WP)	what
POwgd449_214:5	it	PP(PP)	it
POwgd449_214:6	is	VBZ(VBZ)	be

POwgd449_215:1	and	CC(CC)	and
POwgd449_215:2	and	CC(CC)	and
POwgd449_215:3	then	RB(RB)	then
POwgd449_215:4	it	PP(PP)	it
POwgd449_215:5	it	PP(PP)	it
POwgd449_215:6	gets	VVZ(VVZ)	get
POwgd449_215:7	more	RBR(RBR)	more
POwgd449_215:8	longer	JJR(JJR)	long
POwgd449_215:9	you	PP(DM)	you
POwgd449_215:10	know	VVP(DM)	know
POwgd449_215:11	i	PP(PP)	i
POwgd449_215:12	do	VVP(VVP)	do
POwgd449_215:13	xxx	UNI(UNI)	

POwgd449_216:1	it	PP(PP)	it
POwgd449_216:2	's	VBS(VBS)	be
POwgd449_216:3	it	PP(PP)	it
POwgd449_216:4	's	VBS(VBS)	be

POwgd449_217:1	i	PP(PP)	i
POwgd449_217:2	think	VVP(VVP)	think
POwgd449_217:3	they	PP(PP)	they
POwgd449_217:4	are	VBP(VBP)	be
POwgd449_217:5	_0	PA(PA)	
POwgd449_217:6	they	PP(PP)	they
POwgd449_217:7	're	VBP(VBP)	be
POwgd449_217:8	all	DT(DT)	all
POwgd449_217:9	they	PP(PP)	they
POwgd449_217:10	're	VBP(VBP)	be
POwgd449_217:11	all	PDT(PDT)	all
POwgd449_217:12	the	DT(DT)	the
POwgd449_217:13	same	JJ(JJ)	same
POwgd449_217:14	powerpoint	NP(NP)	powerpoint
POwgd449_217:15	_0	PA(PA)	
POwgd449_217:16	it	PP(PP)	it
POwgd449_217:17	's	VBS(VBS)	be
POwgd449_217:18	always	RB(RB)	always
POwgd449_217:19	one	CD(CD)	one
POwgd449_217:20	picture	NN(NN)	picture
POwgd449_217:21	and	CC(CC)	and
POwgd449_217:22	a	DT(DT)	a
POwgd449_217:23	text	NN(NN)	text
POwgd449_217:24	and	CC(CC)	and
POwgd449_217:25	_2	PA(PA)	

POwgd449_218:1	yeah	RE(RE)	yeah
POwgd449_218:2	_0	PA(PA)	
POwgd449_218:3	and	CC(CC)	and
POwgd449_218:4	i	PP(PP)	i
POwgd449_218:5	i	PP(PP)	i
POwgd449_218:6	you	PP(PP)	you

