POprc465_1:1	xx	UNI(UNI)	
POprc465_6:296	to	TO(TO)	to
POprc465_6:297	support	VV(VV)	support
POprc465_6:298	sab-	XX(XX)	
POprc465_6:299	stability	NN(NN)	stability
POprc465_6:300	and	CC(CC)	and
POprc465_6:301	democracy	NN(NN)	democracy
POprc465_6:302	in	IN(IN)	in
POprc465_6:303	_0	PA(PA)	
POprc465_6:304	in	IN(IN)	in
POprc465_6:305	serbia	NP(NP)	serbia
POprc465_6:306	_1	PA(PA)	
POprc465_6:307	and	CC(CC)	and
POprc465_6:308	serbia	NP(NP)	serbia
POprc465_6:309	has	VHZ(VHZ)	have
POprc465_6:310	er	UH(UH)	er
POprc465_6:311	the	DT(DT)	the
POprc465_6:312	potential	NN(NN)	potential
POprc465_6:313	to	TO(TO)	to
POprc465_6:314	make	VV(VV)	make
POprc465_6:315	er	UH(UH)	er
POprc465_6:316	faster	JJR(JJR)	fast
POprc465_6:317	progress	NN(NN)	progress
POprc465_6:318	er	UH(UH)	er
POprc465_6:319	on	IN(IN)	on
POprc465_6:320	its	PP$(PP$)	it
POprc465_6:321	er	UH(UH)	er
POprc465_6:322	european	JJ(JJ)	european
POprc465_6:323	perspective	NN(NN)	perspective
POprc465_6:324	_0	PA(PA)	
POprc465_6:325	hh	BR(BR)	
POprc465_6:326	and	CC(CC)	and
POprc465_6:327	er	UH(UH)	er
POprc465_6:328	_0	PA(PA)	
POprc465_6:329	i	PP(PP)	i
POprc465_6:330	trust	VVP(VVP)	trust
POprc465_6:331	that	IN(IN)	that
POprc465_6:332	er	UH(UH)	er
POprc465_6:333	_0	PA(PA)	
POprc465_6:334	the	DT(DT)	the
POprc465_6:335	serbian	JJ(JJ)	serbian
POprc465_6:336	_0	PA(PA)	
POprc465_6:337	leaders	NNS(NNS)	leader
POprc465_6:338	and	CC(CC)	and
POprc465_6:339	er	UH(UH)	er
POprc465_6:340	_0	PA(PA)	
POprc465_6:341	all	DT(DT)	all
POprc465_6:342	democratic	JJ(JJ)	democratic
POprc465_6:343	forces	NNS(NNS)	force
POprc465_6:344	er	UH(UH)	er
POprc465_6:345	_0	PA(PA)	
POprc465_6:346	in	IN(IN)	in
POprc465_6:347	the	DT(DT)	the
POprc465_6:348	country	NN(NN)	country
POprc465_6:349	now	RB(RB)	now
POprc465_6:350	sees	VVZ(VVP)	see
POprc465_6:351	the	DT(DT)	the
POprc465_6:352	opportunity	NN(NN)	opportunity
POprc465_6:353	_1	PA(PA)	
POprc465_6:354	to	TO(TO)	to
POprc465_6:355	meet	VV(VV)	meet
POprc465_6:356	er	UH(UH)	er
POprc465_6:357	the	DT(DT)	the
POprc465_6:358	condition	NN(NN)	condition
POprc465_6:359	of	IN(IN)	of
POprc465_6:360	s_icty	NP(NP)	s_icty
POprc465_6:361	cooperation	NN(NN)	cooperation
POprc465_6:362	and	CC(CC)	and
POprc465_6:363	er	UH(UH)	er
POprc465_6:364	_0	PA(PA)	
POprc465_6:365	to	TO(TO)	to
POprc465_6:366	move	VV(VV)	move
POprc465_6:367	on	RP(RP)	on
POprc465_6:368	_0	PA(PA)	
POprc465_6:369	thank	FI(FI)	thank
POprc465_6:370	you	FI(FI)	you
POprc465_6:371	_5	PA(PA)	

POprc465_7:1	yeah	RE(RE)	yeah

POprc465_8:1	er	UH(UH)	er
POprc465_8:2	_0	PA(PA)	
POprc465_8:3	a_[S4/last]	NP(NP)	
POprc465_8:4	from	IN(IN)	from
POprc465_8:5	a_[org1]	NP(NP)	
POprc465_8:6	press	NN(NN)	press
POprc465_8:7	agency	NN(NN)	agency
POprc465_8:8	_0	PA(PA)	
POprc465_8:9	er	UH(UH)	er
POprc465_8:10	commissioner	NN(NN)	commissioner
POprc465_8:11	a_[S3/last]	NP(NP)	
POprc465_8:12	_0	PA(PA)	
POprc465_8:13	er	UH(UH)	er
POprc465_8:14	if	IN(IN)	if
POprc465_8:15	i	PP(PP)	i
POprc465_8:16	may	MD(MD)	may
POprc465_8:17	repeat	VV(VV)	repeat
POprc465_8:18	the	DT(DT)	the
POprc465_8:19	_0	PA(PA)	
POprc465_8:20	question	NN(NN)	question
POprc465_8:21	which	PRE(PRE)	which
POprc465_8:22	i	PP(PP)	i
POprc465_8:23	_0	PA(PA)	
POprc465_8:24	m-	XX(XX)	
POprc465_8:25	made	VVD(VVD)	make
POprc465_8:26	er	UH(UH)	er
POprc465_8:27	_0	PA(PA)	
POprc465_8:28	earlier	RBR(RBR)	early
POprc465_8:29	_0	PA(PA)	
POprc465_8:30	should	MD(MD)	shall
POprc465_8:31	i	PP(PP)	i
POprc465_8:32	er	UH(UH)	er
POprc465_8:33	repeat	VV(VV)	repeat
POprc465_8:34	it	PP(PP)	it
POprc465_8:35	or	CC(CC)	or
POprc465_8:36	do	VVP(VVP)	do
POprc465_8:37	you	PP(PP)	you
POprc465_8:38	still	RB(RB)	still
POprc465_8:39	remember	VV(VV)	remember
POprc465_8:40	it	PP(PP)	it
POprc465_8:41	_3	PA(PA)	
POprc465_8:42	okay	RE(RE)	okay
POprc465_8:43	hh	BR(BR)	
POprc465_8:44	er	UH(UH)	er
POprc465_8:45	there	EX(EX)	there
POprc465_8:46	are	VBP(VBP)	be
POprc465_8:47	some	DT(DT)	some
POprc465_8:48	_2	PA(PA)	
POprc465_8:49	member	NN(NN)	member
POprc465_8:50	countries	NNS(NNS)	country
POprc465_8:51	who	PRE(PRE)	who
POprc465_8:52	would	MD(MD)	will
POprc465_8:53	like	VV(VV)	like
POprc465_8:54	to	TO(TO)	to
POprc465_8:55	see	VV(VV)	see
POprc465_8:56	er	UH(UH)	er
POprc465_8:57	the	DT(DT)	the
POprc465_8:58	er	UH(UH)	er
POprc465_8:59	resume	NN(NN)	resume
POprc465_8:60	of	IN(IN)	of
POprc465_8:61	the	DT(DT)	the
POprc465_8:62	s_sa	SP(SP)	
POprc465_8:63	talks	NNS(NNS)	talk
POprc465_8:64	with	IN(IN)	with
POprc465_8:65	serbia	NP(NP)	serbia
POprc465_8:66	hhh	BR(BR)	
POprc465_8:67	only	RB(RB)	only
POprc465_8:68	with	IN(IN)	with
POprc465_8:69	_0	PA(PA)	
POprc465_8:70	approve	V(NN)	approve
POprc465_8:71	by	IN(IN)	by
POprc465_8:72	_0	PA(PA)	
POprc465_8:73	mister	NN(NN)	mister
POprc465_8:74	a_[S2/last]	NP(NP)	
POprc465_8:75	's	POS(POS)	's
POprc465_8:76	government	NN(NN)	government
POprc465_8:77	they	PP(PP)	they
POprc465_8:78	are	VBP(VBP)	be
POprc465_8:79	trying	VVG(VVG)	try
POprc465_8:80	to	TO(TO)	to
POprc465_8:81	arrest	VV(VV)	arrest
POprc465_8:82	_0	PA(PA)	
POprc465_8:83	mister	NN(NN)	mister
POprc465_8:84	mladic	NP(NP)	mladic
POprc465_8:85	_0	PA(PA)	
POprc465_8:86	hh	BR(BR)	
POprc465_8:87	but	CC(CC)	but
POprc465_8:88	_0	PA(PA)	
POprc465_8:89	you	PP(PP)	you
POprc465_8:90	called	VVD(VVD)	call
POprc465_8:91	off	RP(RP)	off
POprc465_8:92	the	DT(DT)	the
POprc465_8:93	negotiation	NN(NN)	negotiation
POprc465_8:94	_0	PA(PA)	
POprc465_8:95	because	IN(IN)	because
POprc465_8:96	_0	PA(PA)	
POprc465_8:97	of	IN(IN)	of
POprc465_8:98	the	DT(DT)	the
POprc465_8:99	two	CD(CD)	two
POprc465_8:100	elements	NNS(NNS)	element
POprc465_8:101	_0	PA(PA)	
POprc465_8:102	hh	BR(BR)	
POprc465_8:103	the	DT(DT)	the
POprc465_8:104	lack	NN(NN)	lack
POprc465_8:105	of	IN(IN)	of
POprc465_8:106	effort	NN(NN)	effort
POprc465_8:107	by	IN(IN)	by
POprc465_8:108	s-	XX(XX)	
POprc465_8:109	belgrade	NP(NP)	belgrade
POprc465_8:110	_1	PA(PA)	
POprc465_8:111	and	CC(CC)	and
POprc465_8:112	as	RB(RB)	as
POprc465_8:113	well	RB(RB)	well
POprc465_8:114	_0	PA(PA)	
POprc465_8:115	of	IN(IN)	of
POprc465_8:116	because	IN(IN)	because
POprc465_8:117	of	IN(IN)	of
POprc465_8:118	the	DT(DT)	the
POprc465_8:119	p_non-arrest	PVC(NN)	
POprc465_8:120	of	IN(IN)	of
POprc465_8:121	mladic	NP(NP)	mladic
POprc465_8:122	do	VVP(VVP)	do
POprc465_8:123	you	PP(PP)	you
POprc465_8:124	still	RB(RB)	still
POprc465_8:125	maintain	VV(VV)	maintain
POprc465_8:126	_1	PA(PA)	
POprc465_8:127	your	PP$(PP$)	you
POprc465_8:128	position	NN(NN)	position
POprc465_8:129	that	IN(IN)	that
POprc465_8:130	_0	PA(PA)	
POprc465_8:131	cooperation	NN(NN)	cooperation
POprc465_8:132	includes	VVZ(VVZ)	include
POprc465_8:133	as	RB(RB)	as
POprc465_8:134	well	RB(RB)	well
POprc465_8:135	the	DT(DT)	the
POprc465_8:136	arrest	NN(NN)	arrest
POprc465_8:137	_0	PA(PA)	
POprc465_8:138	not	RB(RB)	not
POprc465_8:139	only	RB(RB)	only
POprc465_8:140	efforts	NNS(NNS)	effort
POprc465_8:141	_0	PA(PA)	
POprc465_8:142	hh	BR(BR)	
POprc465_8:143	and	CC(CC)	and
POprc465_8:144	the	DT(DT)	the
POprc465_8:145	question	NN(NN)	question
POprc465_8:146	for	IN(IN)	for
POprc465_8:147	for	IN(IN)	for
POprc465_8:148	mister	NN(NN)	mister
POprc465_8:149	a_[S2/last]	NP(NP)	
POprc465_8:150	hh	BR(BR)	
POprc465_8:151	er	UH(UH)	er
POprc465_8:152	_0	PA(PA)	
POprc465_8:153	to	TO(TO)	to
POprc465_8:154	avoid	VV(VV)	avoid
POprc465_8:155	a	DT(DT)	a
POprc465_8:156	little	JJ(JJ)	little
POprc465_8:157	bit	NN(NN)	bit
POprc465_8:158	of	IN(IN)	of
POprc465_8:159	politics	NN(NN)	politics
POprc465_8:160	hh	BR(BR)	
POprc465_8:161	_0	PA(PA)	
POprc465_8:162	in	IN(IN)	in
POprc465_8:163	a	DT(DT)	a
POprc465_8:164	football	NN(NN)	football
POprc465_8:165	match	NN(NN)	match
POprc465_8:166	between	IN(IN)	between
POprc465_8:167	your	PP$(PP$)	you
POprc465_8:168	country	NN(NN)	country
POprc465_8:169	and	CC(CC)	and
POprc465_8:170	mister	NN(NN)	mister
POprc465_8:171	er	UH(UH)	er
POprc465_8:172	er	UH(UH)	er
POprc465_8:173	_0	PA(PA)	
POprc465_8:174	and	CC(CC)	and
POprc465_8:175	finland	NP(NP)	finland
POprc465_8:176	who	WP(WP)	who
POprc465_8:177	will	MD(MD)	will
POprc465_8:178	you	PP(PP)	you
POprc465_8:179	'll	MD(MD)	will
POprc465_8:180	_0	PA(PA)	
POprc465_8:181	prefer	VV(VV)	prefer
POprc465_8:182	to	TO(TO)	to
POprc465_8:183	be	VB(VB)	be
POprc465_8:184	referees	NNS(NNS)	referee
POprc465_8:185	germany	NP(NP)	germany
POprc465_8:186	or	CC(CC)	or
POprc465_8:187	some	DT(DT)	some
POprc465_8:188	other	JJ(JJ)	other
POprc465_8:189	countries	NNS(NNS)	country
POprc465_8:190	like	IN(IN)	like
POprc465_8:191	_0	PA(PA)	
POprc465_8:192	hh	BR(BR)	
POprc465_8:193	s_uk	NP(NP)	s_uk
POprc465_8:194	or	CC(CC)	or
POprc465_8:195	netherlands	NPS(NPS)	netherlands
POprc465_8:196	_8	PA(PA)	

POprc465_9:1	thank	FI(FI)	thank
POprc465_9:2	you	FI(FI)	you
POprc465_9:3	er	UH(UH)	er
POprc465_9:4	_0	PA(PA)	
POprc465_9:5	i	PP(PP)	i
POprc465_9:6	have	VHP(VHP)	have
POprc465_9:7	er	UH(UH)	er
POprc465_9:8	_0	PA(PA)	
POprc465_9:9	repeated	VVN(VVN)	repeat
POprc465_9:10	er	UH(UH)	er
POprc465_9:11	_0	PA(PA)	
POprc465_9:12	numerous	JJ(JJ)	numerous
POprc465_9:13	times	NNS(NNS)	time
POprc465_9:14	and	CC(CC)	and
POprc465_9:15	er	UH(UH)	er
POprc465_9:16	_1	PA(PA)	
POprc465_9:17	my	PP$(PP$)	i
POprc465_9:18	position	NN(NN)	position
POprc465_9:19	and	CC(CC)	and
POprc465_9:20	the	DT(DT)	the
POprc465_9:21	commission	NN(NN)	commission
POprc465_9:22	_0	PA(PA)	
POprc465_9:23	commission	NN(NN)	commission
POprc465_9:24	's	POS(POS)	's
POprc465_9:25	position	NN(NN)	position
POprc465_9:26	_0	PA(PA)	
POprc465_9:27	remains	VVZ(VVZ)	remain
POprc465_9:28	the	DT(DT)	the
POprc465_9:29	same	NN(NN)	same
POprc465_9:30	er	UH(UH)	er
POprc465_9:31	which	PRE(PRE)	which
POprc465_9:32	is	VBZ(VBZ)	be
POprc465_9:33	er	UH(UH)	er
POprc465_9:34	the	DT(DT)	the
POprc465_9:35	european	NP(NP)	european
POprc465_9:36	union	NP(NP)	union
POprc465_9:37	position	NN(NN)	position
POprc465_9:38	hh	BR(BR)	
POprc465_9:39	_0	PA(PA)	
POprc465_9:40	in	IN(IN)	in
POprc465_9:41	other	JJ(JJ)	other
POprc465_9:42	words	NNS(NNS)	word
POprc465_9:43	er	UH(UH)	er
POprc465_9:44	_2	PA(PA)	
POprc465_9:45	full	JJ(JJ)	full
POprc465_9:46	cooperation	NN(NN)	cooperation
POprc465_9:47	with	IN(IN)	with
POprc465_9:48	er	UH(UH)	er
POprc465_9:49	_0	PA(PA)	
POprc465_9:50	s_icty	NP(NP)	s_icty
POprc465_9:51	_1	PA(PA)	
POprc465_9:52	which	PRE(PRE)	which
POprc465_9:53	should	MD(MD)	shall
POprc465_9:54	er	UH(UH)	er
POprc465_9:55	lead	VV(VV)	lead
POprc465_9:56	to	IN(IN)	to
POprc465_9:57	the	DT(DT)	the
POprc465_9:58	arrest	NN(NN)	arrest
POprc465_9:59	er	UH(UH)	er
POprc465_9:60	_0	PA(PA)	
POprc465_9:61	and	CC(CC)	and
POprc465_9:62	er	UH(UH)	er
POprc465_9:63	transfer	NN(NN)	transfer
POprc465_9:64	of	IN(IN)	of
POprc465_9:65	er	UH(UH)	er
POprc465_9:66	_0	PA(PA)	
POprc465_9:67	ratko	NP(NP)	ratko
POprc465_9:68	mladic	NP(NP)	mladic
POprc465_9:69	and	CC(CC)	and
POprc465_9:70	er	UH(UH)	er
POprc465_9:71	_0	PA(PA)	
POprc465_9:72	the	DT(DT)	the
POprc465_9:73	other	JJ(JJ)	other
POprc465_9:74	remaining	JJ(JJ)	remaining
POprc465_9:75	inductees	NNS(NNS)	inductee
POprc465_9:76	er	UH(UH)	er
POprc465_9:77	to	IN(IN)	to
POprc465_9:78	the	DT(DT)	the
POprc465_9:79	hague	NP(NP)	hague
POprc465_9:80	er	UH(UH)	er
POprc465_9:81	hh	BR(BR)	
POprc465_9:82	is	VBZ(VBZ)	be
POprc465_9:83	a	DT(DT)	a
POprc465_9:84	_0	PA(PA)	
POprc465_9:85	necessary	JJ(JJ)	necessary
POprc465_9:86	_0	PA(PA)	
POprc465_9:87	condition	NN(NN)	condition
POprc465_9:88	_1	PA(PA)	
POprc465_9:89	to	TO(TO)	to
POprc465_9:90	resume	VV(VV)	resume
POprc465_9:91	_0	PA(PA)	
POprc465_9:92	talks	NNS(NNS)	talk
POprc465_9:93	er	UH(UH)	er
POprc465_9:94	_0	PA(PA)	
POprc465_9:95	on	IN(IN)	on
POprc465_9:96	the	DT(DT)	the
POprc465_9:97	_0	PA(PA)	
POprc465_9:98	stabilization	NN(NN)	stabilization
POprc465_9:99	and	CC(CC)	and
POprc465_9:100	er	UH(UH)	er
POprc465_9:101	_0	PA(PA)	
POprc465_9:102	association	NN(NN)	association
POprc465_9:103	_0	PA(PA)	
POprc465_9:104	agreement	NN(NN)	agreement
POprc465_9:105	er	UH(UH)	er
POprc465_9:106	hh	BR(BR)	
POprc465_9:107	to	IN(IN)	to
POprc465_9:108	my	PP$(PP$)	i
POprc465_9:109	knowledge	NN(NN)	knowledge
POprc465_9:110	er	UH(UH)	er
POprc465_9:111	_0	PA(PA)	
POprc465_9:112	the	NP(NP)	the
POprc465_9:113	council	NP(NP)	council
POprc465_9:114	of	NP(NP)	of
POprc465_9:115	the	NP(NP)	the
POprc465_9:116	european	NP(NP)	european
POprc465_9:117	union	NP(NP)	union
POprc465_9:118	_0	PA(PA)	
POprc465_9:119	hh	BR(BR)	
POprc465_9:120	is	VBZ(VBZ)	be
POprc465_9:121	er	UH(UH)	er
POprc465_9:122	_0	PA(PA)	
POprc465_9:123	unanimously	RB(RB)	unanimously
POprc465_9:124	_0	PA(PA)	
POprc465_9:125	backing	VVG(VVG)	back
POprc465_9:126	this	DT(DT)	this
POprc465_9:127	position	NN(NN)	position
POprc465_9:128	_0	PA(PA)	
POprc465_9:129	but	CC(CC)	but
POprc465_9:130	if	IN(IN)	if
POprc465_9:131	there	EX(EX)	there
POprc465_9:132	is	VBZ(VBZ)	be
POprc465_9:133	any	DT(DT)	any
POprc465_9:134	divergence	NN(NN)	divergence
POprc465_9:135	_0	PA(PA)	
POprc465_9:136	i	PP(PP)	i
POprc465_9:137	leave	VVP(VVP)	leave
POprc465_9:138	this	DT(DT)	this
POprc465_9:139	er	UH(UH)	er
POprc465_9:140	question	NN(NN)	question
POprc465_9:141	to	IN(IN)	to
POprc465_9:142	the	DT(DT)	the
POprc465_9:143	presidency	NN(NN)	presidency
POprc465_9:144	to	TO(TO)	to
POprc465_9:145	respond	VV(VV)	respond
POprc465_9:146	_0	PA(PA)	

POprc465_10:1	@@	LA(LA)	

POprc465_11:1	thank	FI(FI)	thank
POprc465_11:2	you	FI(FI)	you
POprc465_11:3	_5	PA(PA)	

POprc465_12:1	hh	BR(BR)	
POprc465_12:2	shall	MD(MD)	shall
POprc465_12:3	i	PP(PP)	i
POprc465_12:4	answer	VV(VV)	answer
POprc465_12:5	your	PP$(PP$)	you
POprc465_12:6	question	NN(NN)	question
POprc465_12:7	well	DM(DM)/RB(RB)	well
POprc465_12:8	hh	BR(BR)	

POprc465_13:1	@@@@	LA(LA)	

POprc465_14:1	actually	RB(RB)	actually
POprc465_14:2	_0	PA(PA)	
POprc465_14:3	hh	BR(BR)	
POprc465_14:4	er	UH(UH)	er
POprc465_14:5	_0	PA(PA)	
POprc465_14:6	it	PP(PP)	it
POprc465_14:7	's	VBS(VBS)	be
POprc465_14:8	er	UH(UH)	er
POprc465_14:9	_0	PA(PA)	
POprc465_14:10	european	JJ(JJ)	european
POprc465_14:11	perspective	NN(NN)	perspective
POprc465_14:12	of	IN(IN)	of
POprc465_14:13	serbia	NP(NP)	serbia
POprc465_14:14	_0	PA(PA)	
POprc465_14:15	hh	BR(BR)	
POprc465_14:16	er	UH(UH)	er
POprc465_14:17	i	PP(PP)	i
POprc465_14:18	would	MD(MD)	will
POprc465_14:19	n't	RB(RB)	not
POprc465_14:20	er	UH(UH)	er
POprc465_14:21	how	WRB(WRB)	how
POprc465_14:22	to	TO(TO)	to
POprc465_14:23	say	VV(VV)	say
POprc465_14:24	_1	PA(PA)	
POprc465_14:25	er	UH(UH)	er
POprc465_14:26	_0	PA(PA)	
POprc465_14:27	count	VV(VV)	count
POprc465_14:28	on	IN(IN)	on
POprc465_14:29	all	DT(DT)	all
POprc465_14:30	_0	PA(PA)	
POprc465_14:31	s_eu	NP(NP)	s_eu
POprc465_14:32	members	NNS(NNS)	member
POprc465_14:33	but	CC(CC)	but
POprc465_14:34	_0	PA(PA)	
POprc465_14:35	it	PP(PP)	it
POprc465_14:36	is	VBZ(VBZ)	be
POprc465_14:37	a_[S7]	NP(NP)	
POprc465_14:38	a_[S7/last]	NP(NP)	
POprc465_14:39	that	PRE(PRE)	that
POprc465_14:40	_0	PA(PA)	
POprc465_14:41	just	RB(RB)	just
POprc465_14:42	told	VVD(VVD)	tell
POprc465_14:43	me	PP(PP)	i
POprc465_14:44	_0	PA(PA)	
POprc465_14:45	why	WRB(WRB)	why
POprc465_14:46	not	RB(RB)	not
POprc465_14:47	spain	NP(NP)	spain
POprc465_14:48	and	CC(CC)	and
POprc465_14:49	i	PP(PP)	i
POprc465_14:50	agreed	VVD(VVD)	agree
POprc465_14:51	_0	PA(PA)	

POprc465_15:1	@@@@@@@@@@@	LA(LA)	
POprc465_15:2	_2	PA(PA)	

POprc465_16:1	that	DT(DT)	that
POprc465_16:2	's	VBS(VBS)	be
POprc465_16:3	a	DT(DT)	a
POprc465_16:4	good	JJ(JJ)	good
POprc465_16:5	one	NN(NN)	one

POprc465_17:1	@@	LA(LA)	

POprc465_18:1	well	DM(DM)	well
POprc465_18:2	er	UH(UH)	er
POprc465_18:3	perhaps	RB(RB)	perhaps
POprc465_18:4	i	PP(PP)	i
POprc465_18:5	should	MD(MD)	shall
POprc465_18:6	add	VV(VV)	add
POprc465_18:7	as	IN(IN)	as
POprc465_18:8	a	DT(DT)	a
POprc465_18:9	background	NN(NN)	background
POprc465_18:10	to	IN(IN)	to
POprc465_18:11	this	DT(DT)	this
POprc465_18:12	that	IN(IN)	that
POprc465_18:13	er	UH(UH)	er
POprc465_18:14	after	IN(IN)	after
POprc465_18:15	the	DT(DT)	the
POprc465_18:16	_0	PA(PA)	
POprc465_18:17	discussions	NNS(NNS)	discussion
POprc465_18:18	we	PP(PP)	we
POprc465_18:19	were	VBD(VBD)	be
POprc465_18:20	also	RB(RB)	also
POprc465_18:21	hh	BR(BR)	
POprc465_18:22	er	UH(UH)	er
POprc465_18:23	informed	VVN(VVN)	inform
POprc465_18:24	about	IN(IN)	about
POprc465_18:25	the	DT(DT)	the
POprc465_18:26	football	NN(NN)	football
POprc465_18:27	match	NN(NN)	match
POprc465_18:28	we	PP(PP)	we
POprc465_18:29	have	VHP(VHP)	have
POprc465_18:30	recently	RB(RB)	recently
POprc465_18:31	in	IN(IN)	in
POprc465_18:32	er	UH(UH)	er
POprc465_18:33	_0	PA(PA)	

POprc465_19:1	@@@	LA(LA)	

POprc465_20:1	hh	BR(BR)	
POprc465_20:2	serbia	NP(NP)	serbia
POprc465_20:3	_0	PA(PA)	
POprc465_20:4	where	WRB(WRB)	where
POprc465_20:5	mister	NN(NN)	mister
POprc465_20:6	a_[S3/last]	NP(NP)	
POprc465_20:7	's	POS(POS)	's
POprc465_20:8	team	NN(NN)	team
POprc465_20:9	@@	LA(LA)	
POprc465_20:10	the	DT(DT)	the
POprc465_20:11	commission	NN(NN)	commission
POprc465_20:12	team	NN(NN)	team
POprc465_20:13	hh	BR(BR)	
POprc465_20:14	lost	VVD(VVD)	lose
POprc465_20:15	er	UH(UH)	er
POprc465_20:16	three	CD(CD)	three
POprc465_20:17	zero	CD(CD)	zero
POprc465_20:18	hh	BR(BR)	
POprc465_20:19	to	IN(IN)	to
POprc465_20:20	the	DT(DT)	the
POprc465_20:21	serbian	JJ(JJ)	serbian
POprc465_20:22	team	NN(NN)	team
POprc465_20:23	and	CC(CC)	and
POprc465_20:24	i	PP(PP)	i
POprc465_20:25	'm	VBP(VBP)	be

POprc465_21:1	@@@@@@@@@@@	LA(LA)	

POprc465_22:1	perhaps	RB(RB)	perhaps
POprc465_22:2	there	EX(EX)	there
POprc465_22:3	was	VBD(VBD)	be
POprc465_22:4	a	DT(DT)	a
POprc465_22:5	spanish	JJ(JJ)	spanish
POprc465_22:6	referee	NN(NN)	referee
POprc465_22:7	@@	LA(LA)	

POprc465_23:1	xx	UNI(UNI)	
POprc465_23:2	s_eu	NP(NP)	s_eu
POprc465_23:3	team	NN(NN)	team

POprc465_24:1	@@@@@@	LA(LA)	
POprc465_24:2	_2	PA(PA)	

POprc465_25:1	hh	BR(BR)	
POprc465_25:2	er	UH(UH)	er
POprc465_25:3	a_[S5]	NP(NP)	
POprc465_25:4	a_[S5/last]	NP(NP)	
POprc465_25:5	from	IN(IN)	from
POprc465_25:6	er	UH(UH)	er
POprc465_25:7	a_[org2]	NP(NP)	
POprc465_25:8	italian	JJ(JJ)	italian
POprc465_25:9	news	NN(NN)	news
POprc465_25:10	agency	NN(NN)	agency
POprc465_25:11	erm	UH(UH)	erm
POprc465_25:12	_0	PA(PA)	
POprc465_25:13	my	PP$(PP$)	i
POprc465_25:14	question	NN(NN)	question
POprc465_25:15	is	VBZ(VBZ)	be
POprc465_25:16	really	RB(RB)	really
POprc465_25:17	simple	JJ(JJ)	simple
POprc465_25:18	how	WRB(WRB)	how
POprc465_25:19	long	JJ(JJ)	long
POprc465_25:20	is	VBZ(VBZ)	be
POprc465_25:21	this	DT(DT)	this
POprc465_25:22	document	NN(NN)	document
POprc465_25:23	_0	PA(PA)	
POprc465_25:24	er	UH(UH)	er
POprc465_25:25	and	CC(CC)	and
POprc465_25:26	er	UH(UH)	er
POprc465_25:27	can	MD(MD)	can
POprc465_25:28	you	PP(PP)	you
POprc465_25:29	_1	PA(PA)	
POprc465_25:30	give	VV(VV)	give
POprc465_25:31	out	RP(RP)	out
POprc465_25:32	some	DT(DT)	some
POprc465_25:33	more	JJR(JJR)	more
POprc465_25:34	d-	XX(XX)	
POprc465_25:35	_0	PA(PA)	
POprc465_25:36	more	JJR(JJR)	more
POprc465_25:37	details	NNS(NNS)	detail
POprc465_25:38	about	IN(IN)	about
POprc465_25:39	it	PP(PP)	it
POprc465_25:40	erm	UH(UH)	erm
POprc465_25:41	what	WP(WP)	what
POprc465_25:42	's	VBS(VBS)	be
POprc465_25:43	in	IN(IN)	in
POprc465_25:44	it	PP(PP)	it
POprc465_25:45	and	CC(CC)	and
POprc465_25:46	er	UH(UH)	er
POprc465_25:47	perhaps	RB(RB)	perhaps
POprc465_25:48	also	RB(RB)	also
POprc465_25:49	clarify	VV(VV)	clarify
POprc465_25:50	hh	BR(BR)	
POprc465_25:51	_0	PA(PA)	
POprc465_25:52	what	WDT(WDT)	what
POprc465_25:53	level	NN(NN)	level
POprc465_25:54	of	IN(IN)	of
POprc465_25:55	input	NN(NN)	input
POprc465_25:56	the	DT(DT)	the
POprc465_25:57	s_eu	NP(NP)	s_eu
POprc465_25:58	had	VHD(VHD)	have
POprc465_25:59	in	IN(IN)	in
POprc465_25:60	its	PP$(PP$)	it
POprc465_25:61	preparation	NN(NN)	preparation
POprc465_25:62	_1	PA(PA)	
POprc465_25:63	the	DT(DT)	the
POprc465_25:64	s_eu	NP(NP)	s_eu
POprc465_25:65	and	CC(CC)	and
POprc465_25:66	and	CC(CC)	and
POprc465_25:67	the	DT(DT)	the
POprc465_25:68	s_icty	NP(NP)	s_icty
POprc465_25:69	_5	PA(PA)	

POprc465_26:1	er	UH(UH)	er
POprc465_26:2	the	DT(DT)	the
POprc465_26:3	document	NN(NN)	document
POprc465_26:4	is	VBZ(VBZ)	be
POprc465_26:5	er	UH(UH)	er
POprc465_26:6	_0	PA(PA)	
POprc465_26:7	three	CD(CD)	three
POprc465_26:8	pages	NNS(NNS)	page
POprc465_26:9	long	JJ(JJ)	long
POprc465_26:10	hh	BR(BR)	
POprc465_26:11	it	PP(PP)	it
POprc465_26:12	is	VBZ(VBZ)	be
POprc465_26:13	the	DT(DT)	the
POprc465_26:14	length	NN(NN)	length
POprc465_26:15	of	IN(IN)	of
POprc465_26:16	the	DT(DT)	the
POprc465_26:17	same	JJ(JJ)	same
POprc465_26:18	er	UH(UH)	er
POprc465_26:19	_0	PA(PA)	
POprc465_26:20	croatian	JJ(JJ)	croatian
POprc465_26:21	document	NN(NN)	document
POprc465_26:22	hh	BR(BR)	
POprc465_26:23	and	CC(CC)	and
POprc465_26:24	it	PP(PP)	it
POprc465_26:25	has	VHZ(VHZ)	have
POprc465_26:26	to	TO(TO)	to
POprc465_26:27	been	VBN(VB)	be
POprc465_26:28	followed	VVN(VVN)	follow
