POmtg316_1:1	let	VV(VV)	let
POmtg316_264:38	moment	NN(NN)	moment
POmtg316_264:39	_0	PA(PA)	
POmtg316_264:40	they	PP(PP)	they
POmtg316_264:41	can	MD(MD)	can
POmtg316_264:42	er	UH(UH)	er
POmtg316_264:43	it	PP(PP)	it
POmtg316_264:44	's	VBS(VBS)	be
POmtg316_264:45	likely	JJ(JJ)	likely
POmtg316_264:46	that	IN(IN)	that
POmtg316_264:47	they	PP(PP)	they
POmtg316_264:48	get	VVP(VVP)	get
POmtg316_264:49	frustrated	JJ(JJ)	frustrated
POmtg316_264:50	as	RB(RB)	as
POmtg316_264:51	well	RB(RB)	well
POmtg316_264:52	if	IN(IN)	if
POmtg316_264:53	they	PP(PP)	they
POmtg316_264:54	put	VVP(VVP)	put
POmtg316_264:55	much	JJ(JJ)	much
POmtg316_264:56	_0	PA(PA)	
POmtg316_264:57	workload	NN(NN)	workload
POmtg316_264:58	in	IN(IN)	in
POmtg316_264:59	it	PP(PP)	it
POmtg316_264:60	and	CC(CC)	and
POmtg316_264:61	much	JJ(JJ)	much
POmtg316_264:62	effort	NN(NN)	effort
POmtg316_264:63	in	IN(IN)	in
POmtg316_264:64	it	PP(PP)	it
POmtg316_264:65	without	IN(IN)	without
POmtg316_264:66	_0	PA(PA)	
POmtg316_264:67	actually	RB(RB)	actually
POmtg316_264:68	having	VHG(VHG)	have
POmtg316_264:69	a	DT(DT)	a
POmtg316_264:70	guarantee	NN(NN)	guarantee
POmtg316_264:71	or	CC(CC)	or
POmtg316_264:72	_0	PA(PA)	
POmtg316_264:73	any	DT(DT)	any
POmtg316_264:74	any	DT(DT)	any
POmtg316_264:75	er	UH(UH)	er
POmtg316_264:76	kind	NN(NN)	kind
POmtg316_264:77	of	IN(IN)	of
POmtg316_264:78	er	UH(UH)	er
POmtg316_264:79	_0	PA(PA)	
POmtg316_264:80	document	NN(NN)	document
POmtg316_264:81	that	PRE(PRE)	that
POmtg316_264:82	tells	VVZ(VVZ)	tell
POmtg316_264:83	them	PP(PP)	they
POmtg316_264:84	okay	RE(RE)	okay
POmtg316_264:85	_0	PA(PA)	
POmtg316_264:86	we	PP(PP)	we
POmtg316_264:87	we	PP(PP)	we
POmtg316_264:88	we	PP(PP)	we
POmtg316_264:89	support	VVP(VVP)	support
POmtg316_264:90	_0	PA(PA)	
POmtg316_264:91	the	DT(DT)	the
POmtg316_264:92	general	JJ(JJ)	general
POmtg316_264:93	idea	NN(NN)	idea
POmtg316_264:94	_0	PA(PA)	
POmtg316_264:95	so	DM(DM)	so
POmtg316_264:96	maybe	RB(RB)	maybe
POmtg316_264:97	we	PP(PP)	we
POmtg316_264:98	should	MD(MD)	shall
POmtg316_264:99	ask	VV(VV)	ask
POmtg316_264:100	_0	PA(PA)	

POmtg316_265:1	yah	RE(RE)	yah

POmtg316_266:1	er	UH(UH)	er
POmtg316_266:2	as	IN(IN)	as
POmtg316_266:3	a_[firstname1]	NP(NP)	
POmtg316_266:4	has	VHZ(VHZ)	have
POmtg316_266:5	mentioned	VVN(VVN)	mention
POmtg316_266:6	_0	PA(PA)	

POmtg316_267:1	rectors	NNS(NNS)	rector

POmtg316_268:1	what	WP(WP)	what
POmtg316_268:2	are	VBP(VBP)	be
POmtg316_268:3	the	DT(DT)	the
POmtg316_268:4	issues	NNS(NNS)	issue
POmtg316_268:5	that	PRE(PRE)	that
POmtg316_268:6	we	PP(PP)	we
POmtg316_268:7	want	VVP(VVP)	want
POmtg316_268:8	from	IN(IN)	from
POmtg316_268:9	a_[ORG1]	NP(NP)	
POmtg316_268:10	as	RB(RB)	as
POmtg316_268:11	well	RB(RB)	well
POmtg316_268:12	maybe	RB(RB)	maybe
POmtg316_268:13	we	PP(PP)	we
POmtg316_268:14	should	MD(MD)	shall
POmtg316_268:15	_0	PA(PA)	
POmtg316_268:16	er	UH(UH)	er
POmtg316_268:17	underline	VV(VV)	underline
POmtg316_268:18	and	CC(CC)	and
POmtg316_268:19	stress	VV(VV)	stress
POmtg316_268:20	the	DT(DT)	the
POmtg316_268:21	importance	NN(NN)	importance
POmtg316_268:22	of	IN(IN)	of
POmtg316_268:23	_0	PA(PA)	
POmtg316_268:24	a	DT(DT)	a
POmtg316_268:25	general	JJ(JJ)	general
POmtg316_268:26	agreement	NN(NN)	agreement
POmtg316_268:27	between	IN(IN)	between
POmtg316_268:28	all	PDT(PDT)	all
POmtg316_268:29	the	DT(DT)	the
POmtg316_268:30	rectors	NNS(NNS)	rector
POmtg316_268:31	of	IN(IN)	of
POmtg316_268:32	a_[org1]	NP(NP)	
POmtg316_268:33	universities	NNS(NNS)	university
POmtg316_268:34	_0	PA(PA)	
POmtg316_268:35	that	IN(IN)	that
POmtg316_268:36	they	PP(PP)	they
POmtg316_268:37	wan	VVP(VVP)	want
POmtg316_268:38	na	TO(TO)	to
POmtg316_268:39	_0	PA(PA)	
POmtg316_268:40	do	VV(VV)	do
POmtg316_268:41	that	DT(DT)	that
POmtg316_268:42	_0	PA(PA)	
POmtg316_268:43	want	VVP(VVP)	want
POmtg316_268:44	to	TO(TO)	to
POmtg316_268:45	develop	VV(VV)	develop
POmtg316_268:46	a_[org1]	NP(NP)	
POmtg316_268:47	_0	PA(PA)	

POmtg316_270:1	er	UH(UH)	er
POmtg316_270:2	joint	NNS(NNS)	joint
POmtg316_270:3	masters	NNS(NNS)	master
POmtg316_270:4	_3	PA(PA)	

POmtg316_271:1	mhm	RE(RE)	mhm

POmtg316_272:1	does	VVZ(VVZ)	do
POmtg316_272:2	this	DT(DT)	this
POmtg316_272:3	need	VV(VV)	need
POmtg316_272:4	to	TO(TO)	to
POmtg316_272:5	be	VB(VB)	be
POmtg316_272:6	in	IN(IN)	in
POmtg316_272:7	a	DT(DT)	a
POmtg316_272:8	written	JJ(JJ)	written
POmtg316_272:9	form	NN(NN)	form
POmtg316_272:10	is	VBZ(VBZ)	be
POmtg316_272:11	it	PP(PP)	it
POmtg316_272:12	not	RB(RB)	not
POmtg316_272:13	a	DT(DT)	a
POmtg316_272:14	passive	JJ(JJ)	passive
POmtg316_272:15	agreement	NN(NN)	agreement
POmtg316_272:16	i	PP(DM)	i
POmtg316_272:17	mean	VVP(DM)	mean
POmtg316_272:18	once	RB(RB)	once
POmtg316_272:19	we	PP(PP)	we
POmtg316_272:20	are	VBP(VBP)	be
POmtg316_272:21	in	IN(IN)	in
POmtg316_272:22	a_[org1]	NP(NP)	
POmtg316_272:23	and	CC(CC)	and
POmtg316_272:24	we	PP(PP)	we
POmtg316_272:25	developed	VVD(VVD)	develop
POmtg316_272:26	_1	PA(PA)	
POmtg316_272:27	a	DT(DT)	a
POmtg316_272:28	a	DT(DT)	a
POmtg316_272:29	a	DT(DT)	a
POmtg316_272:30	common	JJ(JJ)	common
POmtg316_272:31	_1	PA(PA)	
POmtg316_272:32	policy	NN(NN)	policy
POmtg316_272:33	_1	PA(PA)	

POmtg316_273:1	yeah	RE(RE)	yeah
POmtg316_273:2	but	CC(CC)	but
POmtg316_273:3	what	WP(WP)	what
POmtg316_273:4	about	IN(IN)	about
POmtg316_273:5	what	WP(WP)	what
POmtg316_273:6	about	IN(IN)	about
POmtg316_273:7	_0	PA(PA)	

POmtg316_274:1	xxxxxxx	UNI(UNI)	

POmtg316_275:1	mhm	RE(RE)	mhm

POmtg316_276:1	yeah	RE(RE)	yeah
POmtg316_276:2	_0	PA(PA)	
POmtg316_276:3	but	CC(CC)	but
POmtg316_276:4	if	IN(IN)	if
POmtg316_276:5	there	EX(EX)	there
POmtg316_276:6	are	VBP(VBP)	be
POmtg316_276:7	some	DT(DT)	some
POmtg316_276:8	obligations	NNS(NNS)	obligation
POmtg316_276:9	financial	JJ(JJ)	financial
POmtg316_276:10	obligations	NNS(NNS)	obligation
POmtg316_276:11	for	IN(IN)	for
POmtg316_276:12	ch-	XX(XX)	
POmtg316_276:13	ea-	XX(XX)	
POmtg316_276:14	from	IN(IN)	from
POmtg316_276:15	each	DT(DT)	each
POmtg316_276:16	university	NN(NN)	university
POmtg316_276:17	so	DM(DM)	so
POmtg316_276:18	one	CD(CD)	one
POmtg316_276:19	thing	NN(NN)	thing
POmtg316_276:20	is	VBZ(VBZ)	be
POmtg316_276:21	to	TO(TO)	to
POmtg316_276:22	x	UNI(UNI)	
POmtg316_276:23	a	DT(DT)	a
POmtg316_276:24	proclamation	NN(NN)	proclamation
POmtg316_276:25	about	IN(IN)	about
POmtg316_276:26	_0	PA(PA)	

POmtg316_277:1	but	CC(CC)	but
POmtg316_277:2	the	DT(DT)	the
POmtg316_277:3	the	DT(DT)	the
POmtg316_277:4	f-	XX(XX)	

POmtg316_278:1	general	JJ(JJ)	general
POmtg316_278:2	cooperation	NN(NN)	cooperation
POmtg316_278:3	within	IN(IN)	within
POmtg316_278:4	a_[org1]	NP(NP)	
POmtg316_278:5	another	DT(DT)	another
POmtg316_278:6	thing	NN(NN)	thing
POmtg316_278:7	is	VBZ(VBZ)	be
POmtg316_278:8	to	TO(TO)	to
POmtg316_278:9	make	VV(VV)	make
POmtg316_278:10	obligation	NN(NN)	obligation

POmtg316_279:1	hm	RE(RE)	hm

POmtg316_280:1	towards	IN(IN)	towards
POmtg316_280:2	er	UH(UH)	er
POmtg316_280:3	_0	PA(PA)	
POmtg316_280:4	real	JJ(JJ)	real
POmtg316_280:5	_0	PA(PA)	

POmtg316_281:1	but	CC(CC)	but
POmtg316_281:2	that	DT(DT)	that
POmtg316_281:3	's	VBS(VBS)	be
POmtg316_281:4	i	PP(PP)	i
POmtg316_281:5	think	VVP(VVP)	think
POmtg316_281:6	er	UH(UH)	er
POmtg316_281:7	l-	XX(XX)	
POmtg316_281:8	like	IN(IN)	like
POmtg316_281:9	y-	XX(XX)	
POmtg316_281:10	you	PP(PP)	you
POmtg316_281:11	said	VVD(VVD)	say
POmtg316_281:12	like	DM(DM)	like
POmtg316_281:13	a	DT(DT)	a
POmtg316_281:14	letter	NN(NN)	letter
POmtg316_281:15	of	NN(NN)	of
POmtg316_281:16	intent	NN(NN)	intent
POmtg316_281:17	something	NN(NN)	something
POmtg316_281:18	like	IN(IN)	like
POmtg316_281:19	that	DT(DT)	that
POmtg316_281:20	may	MD(MD)	may
POmtg316_281:21	_0	PA(PA)	
POmtg316_281:22	facilitate	VV(VV)	facilitate
POmtg316_281:23	maybe	RB(RB)	maybe
POmtg316_281:24	some	DT(DT)	some
POmtg316_281:25	you	PP(DM)	you
POmtg316_281:26	know	VVP(DM)	know
POmtg316_281:27	s-	XX(XX)	
POmtg316_281:28	some	DT(DT)	some
POmtg316_281:29	of	IN(IN)	of
POmtg316_281:30	the	DT(DT)	the
POmtg316_281:31	the	DT(DT)	the
POmtg316_281:32	preparation	NN(NN)	preparation
POmtg316_281:33	or	CC(CC)	or
POmtg316_281:34	_0	PA(PA)	

POmtg316_282:1	yes	RE(RE)	yes

POmtg316_283:1	you	PP(DM)	you
POmtg316_283:2	know	VVP(DM)	know
POmtg316_283:3	some	DT(DT)	some
POmtg316_283:4	of	IN(IN)	of
POmtg316_283:5	the	DT(DT)	the
POmtg316_283:6	legal	JJ(JJ)	legal
POmtg316_283:7	background	NN(NN)	background

POmtg316_284:1	mhm	RE(RE)	mhm
POmtg316_284:2	but	CC(CC)	but

POmtg316_285:1	so	DM(DM)	so
POmtg316_285:2	it	PP(PP)	it
POmtg316_285:3	could	MD(MD)	can
POmtg316_285:4	be	VB(VB)	be
POmtg316_285:5	used	VVN(VVN)	use
POmtg316_285:6	_0	PA(PA)	
POmtg316_285:7	like	IN(IN)	like
POmtg316_285:8	that	DT(DT)	that
POmtg316_285:9	i	PP(PP)	i
POmtg316_285:10	think	VVP(VVP)	think

POmtg316_286:1	to	TO(TO)	to
POmtg316_286:2	have	VH(VH)	have
POmtg316_286:3	your	PP$(PP$)	you
POmtg316_286:4	to	TO(TO)	to
POmtg316_286:5	have	VH(VH)	have
POmtg316_286:6	the	DT(DT)	the
POmtg316_286:7	situation	NN(NN)	situation
POmtg316_286:8	in	IN(IN)	in
POmtg316_286:9	a_[place2]	NP(NP)	
POmtg316_286:10	for	RB(RB)	for
POmtg316_286:11	example	RB(RB)	example
POmtg316_286:12	i	PP(DM)	i
POmtg316_286:13	mean	VVP(DM)	mean
POmtg316_286:14	_0	PA(PA)	

POmtg316_287:1	x	UNI(UNI)	

POmtg316_288:1	whe-	XX(XX)	
POmtg316_288:2	w-	XX(XX)	
POmtg316_288:3	where	WRB(WRB)	where
POmtg316_288:4	where	WRB(WRB)	where
POmtg316_288:5	where	WRB(WRB)	where
POmtg316_288:6	where	WRB(WRB)	where
POmtg316_288:7	we	PP(PP)	we
POmtg316_288:8	've	VHP(VHP)	have
POmtg316_288:9	just	RB(RB)	just
POmtg316_288:10	_0	PA(PA)	
POmtg316_288:11	learned	VVN(VVN)	learn
POmtg316_288:12	this	DT(DT)	this
POmtg316_288:13	morning	NN(NN)	morning
POmtg316_288:14	that	IN(IN)	that
POmtg316_288:15	it	PP(PP)	it
POmtg316_288:16	's	VBS(VBS)	be
POmtg316_288:17	simply	RB(RB)	simply
POmtg316_288:18	not	RB(RB)	not
POmtg316_288:19	possible	JJ(JJ)	possible
POmtg316_288:20	or	CC(CC)	or
POmtg316_288:21	or	CC(CC)	or
POmtg316_288:22	or	CC(CC)	or
POmtg316_288:23	_0	PA(PA)	

POmtg316_289:1	yah	RE(RE)	yah

POmtg316_290:1	that	IN(IN)	that
POmtg316_290:2	there	EX(EX)	there
POmtg316_290:3	is	VBZ(VBZ)	be
POmtg316_290:4	_0	PA(PA)	
POmtg316_290:5	legal	JJ(JJ)	legal
POmtg316_290:6	obstacles	NNS(NNS)	obstacle
POmtg316_290:7	that	PRE(PRE)	that
POmtg316_290:8	er	UH(UH)	er
POmtg316_290:9	_0	PA(PA)	
POmtg316_290:10	that	PRE(PRE)	that
POmtg316_290:11	prevent	VVP(VVP)	prevent
POmtg316_290:12	er	UH(UH)	er
POmtg316_290:13	er	UH(UH)	er
POmtg316_290:14	us	PP(PP)	we
POmtg316_290:15	from	IN(IN)	from
POmtg316_290:16	from	IN(IN)	from
POmtg316_290:17	developing	VVG(VVG)	develop
POmtg316_290:18	it	PP(PP)	it
POmtg316_290:19	maybe	RB(RB)	maybe
POmtg316_290:20	_0	PA(PA)	
POmtg316_290:21	a	DT(DT)	a
POmtg316_290:22	a	DT(DT)	a
POmtg316_290:23	l-	XX(XX)	
POmtg316_290:24	a	DT(DT)	a
POmtg316_290:25	letter	NN(NN)	letter
POmtg316_290:26	or	CC(CC)	or
POmtg316_290:27	an	DT(DT)	a
POmtg316_290:28	official	JJ(JJ)	official
POmtg316_290:29	document	NN(NN)	document
POmtg316_290:30	could	MD(MD)	can
POmtg316_290:31	_0	PA(PA)	
POmtg316_290:32	could	MD(MD)	can
POmtg316_290:33	reinforce	VV(VV)	reinforce
POmtg316_290:34	this	DT(DT)	this
POmtg316_290:35	procedure	NN(NN)	procedure
POmtg316_290:36	_0	PA(PA)	

POmtg316_291:1	mhm	RE(RE)	mhm

POmtg316_292:1	mhm	RE(RE)	mhm
POmtg316_292:2	_0	PA(PA)	

POmtg316_293:1	i	PP(PP)	i
POmtg316_293:2	think	VVP(VVP)	think
POmtg316_293:3	that	IN(IN)	that
POmtg316_293:4	er	UH(UH)	er
POmtg316_293:5	the	DT(DT)	the
POmtg316_293:6	best	NN(NN)	best
POmtg316_293:7	will	MD(MD)	will
POmtg316_293:8	be	VB(VB)	be
POmtg316_293:9	_0	PA(PA)	
POmtg316_293:10	if	IN(IN)	if
POmtg316_293:11	er	UH(UH)	er
POmtg316_293:12	a_[org1]	NP(NP)	
POmtg316_293:13	rector	NN(NN)	rector
POmtg316_293:14	are	VBP(VBZ)	be
POmtg316_293:15	signing	VVG(VVG)	sign
POmtg316_293:16	a	DT(DT)	a
POmtg316_293:17	general	JJ(JJ)	general
POmtg316_293:18	letter	NN(NN)	letter
POmtg316_293:19	of	NN(NN)	of
POmtg316_293:20	intent	NN(NN)	intent
POmtg316_293:21	saying	VVG(VVG)	say
POmtg316_293:22	that	IN(IN)	that
POmtg316_293:23	they	PP(PP)	they
POmtg316_293:24	are	VBP(VBP)	be
POmtg316_293:25	ready	JJ(JJ)	ready
POmtg316_293:26	_0	PA(PA)	
POmtg316_293:27	to	TO(TO)	to
POmtg316_293:28	put	VV(VV)	put
POmtg316_293:29	in	IN(IN)	in
POmtg316_293:30	er	UH(UH)	er
POmtg316_293:31	in	IN(IN)	in
POmtg316_293:32	force	NN(NN)/VV(VV)	force
POmtg316_293:33	er	UH(UH)	er
POmtg316_293:34	er	UH(UH)	er
POmtg316_293:35	erm	UH(UH)	erm
POmtg316_293:36	erm	UH(UH)	erm
POmtg316_293:37	a	DT(DT)	a
POmtg316_293:38	project	NN(NN)	project
POmtg316_293:39	for	IN(IN)	for
POmtg316_293:40	master	NN(NN)	master
POmtg316_293:41	in	RB(RB)	in
POmtg316_293:42	general	RB(RB)	general
POmtg316_293:43	speaking	VVG(VVG)	speak
POmtg316_293:44	_0	PA(PA)	

POmtg316_294:1	mhm	RE(RE)	mhm

POmtg316_295:1	mhm	RE(RE)	mhm

POmtg316_296:1	so	DM(DM)	so
POmtg316_296:2	_0	PA(PA)	
POmtg316_296:3	erm	UH(UH)	erm
POmtg316_296:4	we	PP(PP)	we
POmtg316_296:5	have	VHP(VHP)	have
POmtg316_296:6	already	RB(RB)	already
POmtg316_296:7	their	PP$(PP$)	they
POmtg316_296:8	_0	PA(PA)	
POmtg316_296:9	expression	NN(NN)	expression
POmtg316_296:10	of	IN(IN)	of
POmtg316_296:11	intent	NN(NN)	intent
POmtg316_296:12	that	IN(IN)	that
POmtg316_296:13	they	PP(PP)	they
POmtg316_296:14	_1	PA(PA)	

POmtg316_297:1	commitment	NN(NN)	commitment

POmtg316_298:1	support	VVP(VVP)	support
POmtg316_298:2	_1	PA(PA)	
POmtg316_298:3	in	IN(IN)	in
POmtg316_298:4	this	DT(DT)	this
POmtg316_298:5	case	NN(NN)	case
POmtg316_298:6	no	RE(RE)	no
POmtg316_298:7	the	DT(DT)	the
POmtg316_298:8	_0	PA(PA)	
POmtg316_298:9	the	DT(DT)	the
POmtg316_298:10	process	NN(NN)	process
POmtg316_298:11	of	IN(IN)	of
POmtg316_298:12	the	DT(DT)	the
POmtg316_298:13	master	NN(NN)	master
POmtg316_298:14	_0	PA(PA)	

POmtg316_300:1	and	CC(CC)	and
POmtg316_300:2	then	RB(RB)	then
POmtg316_300:3	time	NN(NN)	time
POmtg316_300:4	by	IN(IN)	by
POmtg316_300:5	time	NN(NN)	time
POmtg316_300:6	_0	PA(PA)	
POmtg316_300:7	the	DT(DT)	the
POmtg316_300:8	project	NN(NN)	project
POmtg316_300:9	will	MD(MD)	will
POmtg316_300:10	be	VB(VB)	be
POmtg316_300:11	approved	VVN(VVN)	approve
POmtg316_300:12	if	IN(IN)	if
POmtg316_300:13	_0	PA(PA)	
POmtg316_300:14	this	DT(DT)	this
POmtg316_300:15	er	UH(UH)	er
POmtg316_300:16	project	NN(NN)	project
POmtg316_300:17	complies	VVZ(VVZ)	comply
POmtg316_300:18	with	IN(IN)	with
POmtg316_300:19	all	PDT(PDT)	all
POmtg316_300:20	the	DT(DT)	the
POmtg316_300:21	_0	PA(PA)	
POmtg316_300:22	regulation	NN(NN)	regulation
POmtg316_300:23	that	PRE(PRE)	that
POmtg316_300:24	er	UH(UH)	er
POmtg316_300:25	we	PP(PP)	we
POmtg316_300:26	are	VBP(VBP)	be
POmtg316_300:27	setting	VVG(VVG)	set
POmtg316_300:28	now	RB(RB)	now
POmtg316_300:29	_0	PA(PA)	
POmtg316_300:30	i	PP(PP)	i
POmtg316_300:31	think	VVP(VVP)	think
POmtg316_300:32	that	IN(IN)	that
POmtg316_300:33	er	UH(UH)	er
POmtg316_300:34	if	IN(IN)	if
POmtg316_300:35	_0	PA(PA)	
POmtg316_300:36	a_[org1]	NP(NP)	
POmtg316_300:37	succeed	VVP(VVP)	succeed
POmtg316_300:38	and	CC(CC)	and
POmtg316_300:39	do	VVP(VVP)	do
POmtg316_300:40	this	DT(DT)	this
POmtg316_300:41	it	PP(PP)	it
POmtg316_300:42	will	MD(MD)	will
POmtg316_300:43	be	VB(VB)	be
POmtg316_300:44	really	RB(RB)	really
POmtg316_300:45	a	DT(DT)	a
POmtg316_300:46	success	NN(NN)	success
POmtg316_300:47	_0	PA(PA)	

POmtg316_301:1	mhm	RE(RE)	mhm

POmtg316_302:1	once	RB(RB)	once
POmtg316_302:2	forever	RB(RB)	forever
POmtg316_302:3	_0	PA(PA)	
POmtg316_302:4	forever	RB(RB)	forever
POmtg316_302:5	_0	PA(PA)	
POmtg316_302:6	for	IN(IN)	for
POmtg316_302:7	the	DT(DT)	the
POmtg316_302:8	next	JJ(JJ)	next
POmtg316_302:9	years	NNS(NNS)	year
POmtg316_302:10	obviously	RB(RB)	obviously
POmtg316_302:11	_0	PA(PA)	

POmtg316_303:1	mhm	RE(RE)	mhm

POmtg316_304:1	to	TO(TO)	to
POmtg316_304:2	achieve	VV(VV)	achieve
POmtg316_304:3	the	DT(DT)	the
POmtg316_304:4	le-	XX(XX)	
POmtg316_304:5	er	UH(UH)	er
POmtg316_304:6	the	DT(DT)	the
POmtg316_304:7	letter	NN(NN)	letter
POmtg316_304:8	of	IN(IN)	of
POmtg316_304:9	a	DT(DT)	a
POmtg316_304:10	_0	PA(PA)	
POmtg316_304:11	general	JJ(JJ)	general
POmtg316_304:12	intent	NN(NN)	intent
POmtg316_304:13	of	IN(IN)	of
POmtg316_304:14	the	DT(DT)	the
POmtg316_304:15	rector	NN(NN)	rector

POmtg316_305:1	hm	RE(RE)	hm

POmtg316_306:1	it	PP(PP)	it
POmtg316_306:2	is	VBZ(VBZ)	be
POmtg316_306:3	their	PP$(PP$)	they
POmtg316_306:4	engagement	NN(NN)	engagement
POmtg316_306:5	_0	PA(PA)	

POmtg316_307:1	xxx	UNI(UNI)	

POmtg316_308:1	strong	JJ(JJ)	strong
POmtg316_308:2	engagement	NN(NN)	engagement

POmtg316_309:1	xxxxx	UNI(UNI)	

POmtg316_310:1	i	PP(PP)	i
POmtg316_310:2	think	VVP(VVP)	think
POmtg316_310:3	that	DT(DT)	that
POmtg316_310:4	's	VBS(VBS)	be
POmtg316_310:5	a	DT(DT)	a
POmtg316_310:6	very	RB(RB)	very
POmtg316_310:7	good	JJ(JJ)	good
POmtg316_310:8	idea	NN(NN)	idea

POmtg316_311:1	er	UH(UH)	er
POmtg316_311:2	thi-	XX(XX)	
POmtg316_311:3	this	DT(DT)	this
POmtg316_311:4	must	MD(MD)	must
POmtg316_311:5	be	VB(VB)	be
POmtg316_311:6	er	UH(UH)	er
POmtg316_311:7	my	PP$(PP$)	i
POmtg316_311:8	my	PP$(PP$)	i
POmtg316_311:9	vision	NN(NN)	vision
POmtg316_311:10	the	DT(DT)	the
POmtg316_311:11	best	JJS(JJS)	good
POmtg316_311:12	er	UH(UH)	er
POmtg316_311:13	_0	PA(PA)	

POmtg316_312:1	hm	RE(RE)	hm

POmtg316_313:1	a_[S10]	NP(NP)	
POmtg316_313:2	_2	PA(PA)	
POmtg316_313:3	this	DT(DT)	this
POmtg316_313:4	depend	V(VVZ)	depend
POmtg316_313:5	er	UH(UH)	er
POmtg316_313:6	on	IN(IN)	on
POmtg316_313:7	the	DT(DT)	the
POmtg316_313:8	xx	UNI(UNI)	
POmtg316_313:9	@@	LA(LA)	
POmtg316_313:10	if	IN(IN)	if
POmtg316_313:11	er	UH(UH)	er
POmtg316_313:12	is	VBZ(VBZ)	be
POmtg316_313:13	er	UH(UH)	er
POmtg316_313:14	so	RB(RB)	so
POmtg316_313:15	clever	JJ(JJ)	clever
POmtg316_313:16	to	TO(TO)	to
POmtg316_313:17	convince	VV(VV)	convince
POmtg316_313:18	them	PP(PP)	they
POmtg316_313:19	it	PP(PP)	it
POmtg316_313:20	will	MD(MD)	will
POmtg316_313:21	be	VB(VB)	be
POmtg316_313:22	useful	JJ(JJ)	useful

POmtg316_314:1	but	CC(CC)	but
POmtg316_314:2	er	UH(UH)	er
POmtg316_314:3	my	PP$(PP$)	i
POmtg316_314:4	my	PP$(PP$)	i

POmtg316_315:1	my	PP$(PP$)	i
POmtg316_315:2	er	UH(UH)	er

POmtg316_316:1	x	UNI(UNI)	
POmtg316_316:2	has	VHZ(VHZ)	have
POmtg316_316:3	this	DT(DT)	this
POmtg316_316:4	been	VBN(VBN)	be
POmtg316_316:5	discussed	VVN(VVN)	discuss
POmtg316_316:6	in	IN(IN)	in
POmtg316_316:7	xxxx	UNI(UNI)	

POmtg316_317:1	x	UNI(UNI)	
POmtg316_317:2	general	JJ(JJ)	general

POmtg316_318:1	general	NN(NN)	general
POmtg316_318:2	assembly	NN(NN)	assembly
POmtg316_318:3	it	PP(PP)	it
POmtg316_318:4	was	VBD(VBD)	be
POmtg316_318:5	discussed	VVN(VVN)	discuss
POmtg316_318:6	_0	PA(PA)	

POmtg316_319:1	no	RE(RE)	no
POmtg316_319:2	_0	PA(PA)	
POmtg316_319:3	er	UH(UH)	er
POmtg316_319:4	_0	PA(PA)	

POmtg316_321:1	not	RB(RB)	not
POmtg316_321:2	x	UNI(UNI)	
POmtg316_321:3	xx	UNI(UNI)	
POmtg316_321:4	_0	PA(PA)	

POmtg316_322:1	not	RB(RB)	not
POmtg316_322:2	at	IN(IN)	at
POmtg316_322:3	the	DT(DT)	the
POmtg316_322:4	rectors	NNS(NNS)	rector
POmtg316_322:5		POS(POS)	'
POmtg316_322:6	conference	NN(NN)	conference
POmtg316_322:7	either	CC(CC)	either

POmtg316_323:1	no	RE(RE)	no
POmtg316_323:2	_2	PA(PA)	

POmtg316_324:1	my	PP$(PP$)	i
POmtg316_324:2	question	NN(NN)	question
POmtg316_324:3	is	VBZ(VBZ)	be
POmtg316_324:4	_0	PA(PA)	
POmtg316_324:5	now	RB(RB)	now
POmtg316_324:6	_1	PA(PA)	
POmtg316_324:7	let	VV(VV)	let
POmtg316_324:8	's	PP(PP)	we
POmtg316_324:9	say	VV(VV)	say
POmtg316_324:10	your	PP$(PP$)	you
POmtg316_324:11	rector	NN(NN)	rector
POmtg316_324:12	is	VBZ(VBZ)	be
POmtg316_324:13	_0	PA(PA)	
POmtg316_324:14	if	IN(IN)	if
POmtg316_324:15	you	PP(PP)	you
POmtg316_324:16	know	VVP(VVP)	know
POmtg316_324:17	that	IN(IN)	that
POmtg316_324:18	the	DT(DT)	the
POmtg316_324:19	policy	NN(NN)	policy
POmtg316_324:20	in	IN(IN)	in
POmtg316_324:21	your	PP$(PP$)	you
POmtg316_324:22	country	NN(NN)	country
POmtg316_324:23	prevents	VVZ(VVZ)	prevent
POmtg316_324:24	you	PP(PP)	you
POmtg316_324:25	from	IN(IN)	from
POmtg316_324:26	_0	PA(PA)	
POmtg316_324:27	having	VHG(VHG)	have
POmtg316_324:28	this	DT(DT)	this
POmtg316_324:29	kind	NN(NN)	kind
POmtg316_324:30	of	IN(IN)	of
POmtg316_324:31	joint	NNS(NNS)	joint
POmtg316_324:32	degrees	NNS(NNS)	degree
POmtg316_324:33	_0	PA(PA)	
POmtg316_324:34	then	RB(RB)	then
POmtg316_324:35	_0	PA(PA)	
POmtg316_324:36	can	MD(MD)	can
POmtg316_324:37	you	PP(PP)	you
POmtg316_324:38	sign	VV(VV)	sign
POmtg316_324:39	_0	PA(PA)	
POmtg316_324:40	such	PDT(PDT)	such
POmtg316_324:41	a	DT(DT)	a
POmtg316_324:42	letter	NN(NN)	letter
POmtg316_324:43	of	NN(NN)	of
POmtg316_324:44	intent	NN(NN)	intent
